id,smiles,expt
molid1,CN(C)C(=O)c1ccc(cc1)OC,-11.01
molid2,CS(=O)(=O)Cl,-4.87
molid3,CC(C)C=C,1.83
molid4,CCc1cnccn1,-5.45
molid5,CCCCCCCO,-4.21
molid6,Cc1cc(cc(c1)O)C,-6.27
molid7,CC(C)C(C)C,2.34
molid8,CCCC(C)(C)O,-3.92
molid9,C[C@@H]1CCCC[C@@H]1C,1.58
molid10,CC[C@H](C)O,-4.62
molid11,C(Br)Br,-1.96
molid12,CC[C@H](C(C)C)O,-3.88
molid13,CCc1ccccn1,-4.33
molid14,CCCCC(=O)OCC,-2.49
molid15,c1ccc(cc1)S,-2.55
molid16,CC(=CCC/C(=C\CO)/C)C,-4.78
molid17,c1ccc2c(c1)CCC2,-1.46
molid18,CCOc1ccccc1,-2.22
molid19,c1cc(ccc1O)Br,-5.85
molid20,CCCC(C)(C)C,2.88
molid21,CC(=O)OCCOC(=O)C,-6.34
molid22,CCOP(=S)(OCC)SCSP(=S)(OCC)OCC,-6.1
molid23,C1CCCC(CC1)O,-5.48
molid24,COC(=O)C1CC1,-4.1
molid25,c1ccc(cc1)C#N,-4.1
molid26,CCCCC#N,-3.52
molid27,CC(C)(C)O,-4.47
molid28,CC(C)C(=O)C(C)C,-2.74
molid29,CCC=O,-3.43
molid30,CN(C)C=O,-7.81
molid31,Cc1ccc(cc1)C,-0.8
molid32,C=CCC=C,0.93
molid33,Cc1cccc(c1C)Nc2ccccc2C(=O)O,-6.78
molid34,CN(C)C(=O)c1ccccc1,-9.29
molid35,CCNCC,-4.07
molid36,CC(C)(C)c1ccc(cc1)O,-5.91
molid37,CC(C)CCOC=O,-2.13
molid38,CCCCCCCCCCO,-3.64
molid39,CCC(=O)OCC,-2.68
molid40,CCCCCCCCC,3.13
molid41,CC(=O)NC,-10.0
molid42,CCCCCCCC=C,2.06
molid43,c1ccc2cc(ccc2c1)O,-8.11
molid44,c1cc(c(cc1Cl)Cl)Cl,-1.12
molid45,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,-23.62
molid46,CCCC(=O)OC,-2.83
molid47,c1ccc(c(c1)C=O)O,-4.68
molid48,C1CNC1,-5.56
molid49,CCCNCCC,-3.65
molid50,c1ccc(cc1)N,-5.49
molid51,C(F)(F)(F)F,3.12
molid52,CC[C@@H](C)CO,-4.42
molid53,c1ccc(c(c1)O)I,-6.2
molid54,COc1cccc(c1O)OC,-6.96
molid55,CCC#C,-0.16
molid56,c1ccc(cc1)C(F)(F)F,-0.25
molid57,NN,-9.3
molid58,Cc1ccccn1,-4.63
