casNum,compound,flashPoint,id,img,pre_smiles,productCode,sds,smiles
4369-14-6,(3-ACRYLOXYPROPYL)TRIMETHOXYSILANE,122.0,molid33,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0200.0.gif,C(C=C)(=O)OCCC[Si](OC)(OC)OC,SIA0200.0,https://s3.amazonaws.com/gelest/sds/SIA0200.0_GHS+US_English+US.pdf,C(C=C)(=O)OCCC[Si](OC)(OC)OC
1760-24-3,N-(2-AMINOETHYL)-3-AMINOPROPYLTRIMETHOXYSILANE,150.0,molid69,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0591.0.gif,NCCNCCC[Si](OC)(OC)OC,SIA0591.0,https://s3.amazonaws.com/gelest/sds/SIA0591.0_GHS+US_English+US.pdf,NCCNCCC[Si](OC)(OC)OC
13822-56-5,3-AMINOPROPYLTRIMETHOXYSILANE,83.0,molid88,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0611.0.gif,NCCC[Si](OC)(OC)OC,SIA0611.0,https://s3.amazonaws.com/gelest/sds/SIA0611.0_GHS+US_English+US.pdf,NCCC[Si](OC)(OC)OC
112-88-9,1-Octadecene,154.0,molid144,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEO3210.gif,C=CCCCCCCCCCCCCCCCC,ENEO3210,https://s3.amazonaws.com/gelest/sds/ENEO3210_GHS+US_English+US.pdf,C=CCCCCCCCCCCCCCCCC
1461-25-2,TETRA-n-BUTYLTIN,107.0,molid228,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNT7260.gif,C(CCC)[Sn](CCCC)(CCCC)CCCC,SNT7260,https://s3.amazonaws.com/gelest/sds/SNT7260_GHS+US_English+US.pdf,C(CCC)[Sn](CCCC)(CCCC)CCCC
594-27-4,TETRAMETHYLTIN,12.0,molid235,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNT7560.gif,C[Sn](C)(C)C,SNT7560,https://s3.amazonaws.com/gelest/sds/SNT7560_GHS+US_English+US.pdf,C[Sn](C)(C)C
18282-10-5,TIN(IV) OXIDE,5.5,molid252,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNT7970.gif,[Sn](=O)=O,SNT7970,https://s3.amazonaws.com/gelest/sds/SNT7970_GHS+US_English+US.pdf,[Sn](=O)=O
1066-45-1,TRIMETHYLCHLOROTIN,55.5,molid268,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNT8520.gif,C[Sn](Cl)(C)C,SNT8520,https://s3.amazonaws.com/gelest/sds/SNT8520_GHS+US_English+US.pdf,C[Sn](Cl)(C)C
14165-55-0,TETRAETHOXYGERMANE,62.0,molid330,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/GET7100.gif,C(C)O[Ge](OCC)(OCC)OCC,GET7100,https://s3.amazonaws.com/gelest/sds/GET7100_GHS+US_English+US.pdf,C(C)O[Ge](OCC)(OCC)OCC
63148-61-8,POLYDIETHYLSILOXANE,143.66666666666666,molid361,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/DES-T02.gif,C(C)[Si](O[*:2])(CC)[*:1],DES-T02,https://s3.amazonaws.com/gelest/sds/DES-T02_GHS+US_English+US.pdf,C(C)[Si](O[*:2])(CC)[*:1]
107-46-0,POLYDIMETHYLSILOXANE,241.78787878787878,molid367,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/DMS-T00.gif,C[Si](O[*:2])(C)[*:1],DMS-T00,https://s3.amazonaws.com/gelest/sds/DMS-T00_GHS+US_English+US.pdf,C[Si](O[*:2])(C)[*:1]
,POLYPHENYLMETHYLSILOXANE,35.5,molid401,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/PMS-H11.gif,C1(=CC=CC=C1)C[SiH](O[*:2])[*:1],PMS-H03,https://s3.amazonaws.com/gelest/sds/PMS-H03_GHS+US_English+US.pdf,C1(=CC=CC=C1)C[SiH](O[*:2])[*:1]
68412-37-3,POLY(DIETHOXYSILOXANE),54.5,molid403,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/PSI-023.gif,C(C)O[Si](O[*:2])(OCC)[*:1],PSI-021,https://s3.amazonaws.com/gelest/sds/PSI-021_GHS+US_English+US.pdf,C(C)O[Si](O[*:2])(OCC)[*:1]
57757-66-1,(3-ACETAMIDOPROPYL)TRIMETHOXYSILANE,65.0,molid1,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0006.0.gif,C(C)(=O)NCCC[Si](OC)(OC)OC,SIA0006.0,https://s3.amazonaws.com/gelest/sds/SIA0006.0_GHS+US_English+US.pdf,C(C)(=O)NCCC[Si](OC)(OC)OC
18306-45-1,ACETOXYETHYLDIMETHYLCHLOROSILANE,63.0,molid2,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0010.0.gif,C(C)(=O)OCC[Si](Cl)(C)C,SIA0010.0,https://s3.amazonaws.com/gelest/sds/SIA0010.0_GHS+US_English+US.pdf,C(C)(=O)OCC[Si](Cl)(C)C
18163-34-3,ACETOXYETHYLMETHYLDICHLOROSILANE,65.0,molid3,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0015.0.gif,C(C)(=O)OCC[Si](Cl)(Cl)C,SIA0015.0,https://s3.amazonaws.com/gelest/sds/SIA0015.0_GHS+US_English+US.pdf,C(C)(=O)OCC[Si](Cl)(Cl)C
18204-80-3,ACETOXYETHYLTRICHLOROSILANE,82.0,molid4,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0020.0.gif,C(C)(=O)OCC[Si](Cl)(Cl)Cl,SIA0020.0,https://s3.amazonaws.com/gelest/sds/SIA0020.0_GHS+US_English+US.pdf,C(C)(=O)OCC[Si](Cl)(Cl)Cl
