productCode,casNum,compound,smiles,flashPoint,img,sds
ALT-173,76684-67-8,POLYTETRADECYLMETHYLSILOXANE,C(CCCCCCCCCCCCC)[Si](O[*:2])(C)[*:1],110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ALT-173.gif,https://s3.amazonaws.com/gelest/sds/ALT-173_GHS+US_English+US.pdf
ALT-192,68607-75-0,POLYOCTADECYLMETHYLSILOXANE,C(CCCCCCCCCCCCCCCCC)[Si](O[*:2])(C)[*:1],110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ALT-192.gif,https://s3.amazonaws.com/gelest/sds/ALT-192_GHS+US_English+US.pdf
APT-133,71329-48-1,POLY(2-PHENYLPROPYL)METHYLSILOXANE,C1(=CC=CC=C1)C(C[Si](O[*:2])(C)[*:1])C,258,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/APT-133.gif,https://s3.amazonaws.com/gelest/sds/APT-133_GHS+US_English+US.pdf
DCF-405,1361237-41-3,(TETRAHYDROFURFURYLOXYPROPYL)METHYLSILOXANE,C(C1CCCO1)OCCC[Si]([O])C,65,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/DCF-405.gif,https://s3.amazonaws.com/gelest/sds/DCF-405_GHS+US_English+US.pdf
DES-T02,63148-61-8,POLYDIETHYLSILOXANE,C(C)[Si](O[*:2])(CC)[*:1],76,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/DES-T02.gif,https://s3.amazonaws.com/gelest/sds/DES-T02_GHS+US_English+US.pdf
DES-T03,63148-61-8,POLYDIETHYLSILOXANE,C(C)[Si](O[*:2])(CC)[*:1],80,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/DES-T03.gif,https://s3.amazonaws.com/gelest/sds/DES-T03_GHS+US_English+US.pdf
DES-T11,63148-61-8,POLYDIETHYLSILOXANE,C(C)[Si](O[*:2])(CC)[*:1],110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/DES-T11.gif,https://s3.amazonaws.com/gelest/sds/DES-T11_GHS+US_English+US.pdf
DES-T12,63148-61-8,POLYDIETHYLSILOXANE,C(C)[Si](O[*:2])(CC)[*:1],170,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/DES-T12.gif,https://s3.amazonaws.com/gelest/sds/DES-T12_GHS+US_English+US.pdf
DES-T15,63148-61-8,POLYDIETHYLSILOXANE,C(C)[Si](O[*:2])(CC)[*:1],170,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/DES-T15.gif,https://s3.amazonaws.com/gelest/sds/DES-T15_GHS+US_English+US.pdf
DES-T23,63148-61-8,POLYDIETHYLSILOXANE,C(C)[Si](O[*:2])(CC)[*:1],256,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/DES-T23.gif,https://s3.amazonaws.com/gelest/sds/DES-T23_GHS+US_English+US.pdf
DMS-T00,107-46-0,POLYDIMETHYLSILOXANE,C[Si](O[*:2])(C)[*:1],1,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/DMS-T00.gif,https://s3.amazonaws.com/gelest/sds/DMS-T00_GHS+US_English+US.pdf
