productCode,casNum,compound,smiles,flashPoint,img,sds
SNA0310,13331-52-7,ACRYLOXYTRI-n-BUTYLTIN,C(C=C)(=O)O[Sn](CCCC)(CCCC)CCCC,76,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNA0310.gif,https://s3.amazonaws.com/gelest/sds/SNA0310_GHS+US_English+US.pdf
SNA0330,24929-38-2,ACRYLOXYTRIPHENYLTIN,C(C=C)(=O)O[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,76,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNA0330.gif,https://s3.amazonaws.com/gelest/sds/SNA0330_GHS+US_English+US.pdf
SNA0500,24850-33-7,ALLYLTRI-n-BUTYLTIN,C(C=C)[Sn](CCCC)(CCCC)CCCC,103,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNA0500.gif,https://s3.amazonaws.com/gelest/sds/SNA0500_GHS+US_English+US.pdf
SNA0580,76-63-1,ALLYLTRIPHENYLTIN,C(C=C)[Sn](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNA0580.gif,https://s3.amazonaws.com/gelest/sds/SNA0580_GHS+US_English+US.pdf
SNB1025,59863-13-7,BIS[BIS(TRIMETHYLSILYL)AMINO]TIN(II),C[Si](C)(C)N([Si](C)(C)C)[Sn]N([Si](C)(C)C)[Si](C)(C)C,56,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNB1025.gif,https://s3.amazonaws.com/gelest/sds/SNB1025_GHS+US_English+US.pdf
SNB1790,994-71-8,BIS(TRI-n-BUTYLSTANNYL)ACETYLENE,C(CCC)[Sn](CCCC)(CCCC)C#C[Sn](CCCC)(CCCC)CCCC,110,https://www.gelest.com:443/wp-content/uploads/SNB1793-487x460.png,https://s3.amazonaws.com/gelest/sds/SNB1790_GHS+US_English+US.pdf
SNB1794,14275-61-7,BIS(TRI-n-BUTYLSTANNYL)ETHYLENE,C(CCC)[Sn](CCCC)(CCCC)C=C[Sn](CCCC)(CCCC)CCCC,110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNB1800.gif,https://s3.amazonaws.com/gelest/sds/SNB1794_GHS+US_English+US.pdf
SNB1979,157066-15-4,t-BUTYLTRI n-BUTYLTIN,C(C)(C)(C)[Sn](CCCC)(CCCC)CCCC,102,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNB2000.gif,https://s3.amazonaws.com/gelest/sds/SNB1979_GHS+US_English+US.pdf
SNB2000,1118-46-3,n-BUTYLTRICHLOROTIN,C(CCC)[Sn](Cl)(Cl)Cl,110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNB2050.gif,https://s3.amazonaws.com/gelest/sds/SNB2000_GHS+US_English+US.pdf
SNC2078,59586-13-9,CARBOMETHOXYETHYLTRICHLOROTIN,C(=O)(OC)CC[Sn](Cl)(Cl)Cl,110,https://www.gelest.com:443/wp-content/uploads/SNC2290-460x460.png,https://s3.amazonaws.com/gelest/sds/SNC2078_GHS+US_English+US.pdf
SNC2308,4554-90-9,CHLOROMETHYLTRIMETHYLTIN,ClC[Sn](C)(C)C,39,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNC2500.gif,https://s3.amazonaws.com/gelest/sds/SNC2308_GHS+US_English+US.pdf
SNC2500,3912-86-5,CYCLOPENTADIENYLTRI-n-BUTYLTIN,C1(C=CC=C1)[Sn](CCCC)(CCCC)CCCC,110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SND2600.gif,https://s3.amazonaws.com/gelest/sds/SNC2500_GHS+US_English+US.pdf
