compound,smiles,flashPoint
Trichlorosilane,Cl[SiH](Cl)Cl,-27.99999999999997
Methyltrichlorosilane,C[Si](Cl)(Cl)Cl,3.0
Vinyltrichlorosilane,C(=C)[Si](Cl)(Cl)Cl,21.0
Dichloromethylmethyldichlorosilane,ClC(Cl)[Si](Cl)(Cl)C,28.0
Ethyltrichlorosilane,C(C)[Si](Cl)(Cl)Cl,-10.0
Dimethylchlorosilane,C[SiH](Cl)C,-27.99999999999997
Ethylsilane,C(C)[SiH3],-59.99999999999997
"Trichloro(3,3,3-trifluoropropyl)silane",Cl[Si](CCC(F)(F)F)(Cl)Cl,15.0
Allyltrichlorosilane,C(C=C)[Si](Cl)(Cl)Cl,31.0
3-Chloropropyltrichlorosilane,ClCCC[Si](Cl)(Cl)Cl,84.0
n-Propyltrichlorosilane,C(CC)[Si](Cl)(Cl)Cl,37.0
Chloromethyldimethylchlorosilane,ClC[Si](Cl)(C)C,22.0
Trimethyl bromosilane,C[Si](Br)(C)C,-3.0
Trimethylchlorosilane,C[Si](Cl)(C)C,-17.99999999999997
Trimethylfluorosilane,C[Si](F)(C)C,-34.99999999999997
Trimethoxysilane,CO[SiH](OC)OC,-9.0
2-Cyanoethylmethyldichlorosilane,C(#N)CC[Si](Cl)(Cl)C,60.0
Allylmethyldichlorosilane,C(C=C)C[SiH](Cl)Cl,27.0
t-Butyltrichlorosilane,C(C)(C)(C)[Si](Cl)(Cl)Cl,21.0
Isobutyltrichlorosilane,C(C(C)C)[Si](Cl)(Cl)Cl,37.0
n-Butyltrichlorosilane,C(CCC)[Si](Cl)(Cl)Cl,54.0
Trimethylsilylisothiocyanate,C[Si](C)(C)N=C=S,35.0
n-Propylmethyldichlorosilane,C(CC)[Si](Cl)(Cl)C,27.0
Bromomethyltrimethylsilane,BrC[Si](C)(C)C,16.0
ETHYLDIMETHYLCHLOROSILANE,C(C)[Si](Cl)(C)C,-4.0
Methoxytrimethylsilane,CO[Si](C)(C)C,-29.99999999999997
Dimethyldimethoxysilane,C[Si](OC)(OC)C,-8.0
Methyltrimethoxysilane,C[Si](OC)(OC)OC,11.0
Tetramethoxysilane,CO[Si](OC)(OC)OC,21.0
Tetramethylsilane,C[Si](C)(C)C,-27.99999999999997
Diethylsilane,C(C)[SiH2]CC,-19.99999999999997
"(N,N-Dimethylamino)dimethylsilane",CN(C)[SiH](C)C,-13.0
Tetraisocyanatosilane,N(=C=O)[Si](N=C=O)(N=C=O)N=C=O,50.0
Cyclopentyltrichlorosilane,C1(CCCC1)[Si](Cl)(Cl)Cl,77.0
Trimethylsilyltrifluoroacetate,C[Si](C)(C)OC(C(F)(F)F)=O,0.0
Cyclopentyldichlorosilane,C1(CCCC1)[SiH](Cl)Cl,43.0
3-Chloro-2-methylpropylmethyldichlorosilane,ClCC(C[Si](Cl)(Cl)C)C,90.0
Methylvinyldimethoxysilane,CC=C[SiH](OC)OC,4.0
Vinyltrimethoxysilane,C(=C)[Si](OC)(OC)OC,23.0
Trimethylvinylsilane,CC(=C(C)C)[SiH3],-33.99999999999997
Diethylmethylchlorosilane,C(C)[Si](Cl)(C)CC,15.0
Chloromethyldimethylethoxysilane,ClC[Si](OCC)(C)C,26.0
Ethoxytrimethylsilane,C(C)O[Si](C)(C)C,-26.99999999999997
Ethyltrimethoxysilane,C(C)[Si](OC)(OC)OC,27.0
"(N,N-Dimethylamino)trimethylsilane",CN(C)[Si](C)(C)C,-18.649999999999977
Pentamethyldisiloxane,C[SiH](O[Si](C)(C)C)C,-18.99999999999997
Phenylsilane,C1(=CC=CC=C1)[SiH3],8.0
1-Hexenyltrichlorosilane,C(=CCCCC)[Si](Cl)(Cl)Cl,60.0
Cyclohexyltrichlorosilane,C1(CCCCC1)[Si](Cl)(Cl)Cl,85.0
Bis(chloromethyl)tetramethyldisiloxane,ClC[Si](O[Si](C)(C)C)(C)CCl,73.0
Propargyloxytrimethylsilane,C(C#C)O[Si](C)(C)C,27.0
Divinyldimethylsilane,C(=C)[Si](C)(C)C=C,8.0
n-Hexyltrichlorosilane,C(CCCCC)[Si](Cl)(Cl)Cl,85.0
Hexyldichlorosilane,C(CCCCC)[SiH](Cl)Cl,64.0
"1,1 -Dimethyl-1-sila-2-oxacyclohexane",C[Si]1(OCCCC1)C,14.0
Acetoxymethyltrimethylsilane,C(C)(=O)OC[Si](C)(C)C,20.0
Allyltrimethylsilane,C(C=C)[Si](C)(C)C,7.0
Triethylchlorosilane,C(C)[Si](Cl)(CC)CC,30.0
t-Butyldimethylchlorosilane,C(C)(C)(C)[Si](Cl)(C)C,22.0
3-Chloropropylmethyldimethoxysilane,ClCCC[Si](OC)(OC)C,45.0
Trimethyl-n-propoxysilane,C[Si](OCCC)(C)C,10.0
t-Butyldimethylsilanol,C(C)(C)(C)[Si](O)(C)C,45.0
Dimethyldiethoxysilane,C[Si](OCC)(OCC)C,11.0
Triethylsilane,C(C)[SiH](CC)CC,-3.0
Hexylsilane,C(CCCCC)[SiH3],12.0
t-Butyld imethyl silane,C(C)(C)(C)[SiH](C)C,-21.99999999999997
Bis(dimethylamino)dimethylsilane,CN(C)[Si](C)(C)N(C)C,-7.0
Hexamethylcyclotrisiloxane,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,32.0
Hexamethyldisilthiane,C[Si](S[Si](C)(C)C)(C)C,26.0
Hexamethyldisilazane,C[Si](N[Si](C)(C)C)(C)C,8.0
Tris(dimethylamino)silane,CN(C)[SiH](N(C)C)N(C)C,25.0
Hexamethyltrisiloxane,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,20.0
Phenylmethyldichlorosilane,C1(=CC=CC=C1)C[SiH](Cl)Cl,67.0
Phenylmethylchlorosilane,C1(=CC=CC=C1)C[SiH2]Cl,82.0
Methyltriacetoxysilane,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,85.0
Trivinylmethylsilane,C(=C)C(C=C)(C=C)[SiH3],15.0
Cyclohexylmethyldichlorosilane,C1(CCCCC1)C[SiH](Cl)Cl,82.0
"1-(Trimethylsiloxy)-1,3-butadiene",C[Si](OC=CC=C)(C)C,25.0
2-Chloromethyl-3-trimethylsilyl-1-propene,ClCC(=C)C[Si](C)(C)C,43.0
n-Heptyltrichlorosilane,C(CCCCCC)[Si](Cl)(Cl)Cl,64.0
n-Hexylmethyldichlorosilane,C(CCCCC)[Si](Cl)(Cl)C,85.0
Vinylmethyldiethoxysilane,C(=C)C[SiH](OCC)OCC,16.0
N-(Trimethylsilyl)morpholine,C[Si](N1CCOCC1)(C)C,27.0
t-Butoxytrimethylsilane,C(C)(C)(C)O[Si](C)(C)C,14.0
(1-Methoxy-2-propoxy)trimethylsilane,COCC(C)O[Si](C)(C)C,20.0
Methyltriethoxysilane,C[Si](OCC)(OCC)OCC,24.0
(Diethylamino)trimethylsilane,C(C)N(CC)[Si](C)(C)C,10.0
Bis(trimethylsilyl)methane,C[Si](C)(C)C[Si](C)(C)C,12.0
Heptamethyldisilazane,C[Si](N([Si](C)(C)C)C)(C)C,27.0
Bis(trimethylsiloxy)methylsilane,C[Si](OC(O[Si](C)(C)C)[SiH3])(C)C,23.0
Tetravinylsilane,C(=C)[Si](C=C)(C=C)C=C,18.0
Cyclopentadienyltrimethylsilane,C1(C=CC=C1)[Si](C)(C)C,29.0
(Cyclopentenyloxy)trimethylsilane,C1(=CCCC1)O[Si](C)(C)C,38.0
"(2,4-Pentadienyl)trimethylsilane",C(C=CC=C)[Si](C)(C)C,18.0
n-Octyltrichlorosilane,C(CCCCCCC)[Si](Cl)(Cl)Cl,96.0
n-Heptylmethyldichlorosilane,C(CCCCCC)[Si](Cl)(Cl)C,66.0
Tetramethyldivinyldisiloxane,C[Si](O[Si](C=C)(C=C)C)(C)C,19.0
Triethylacetoxysilane,C(C)C(C(=O)O[SiH3])(CC)CC,41.0
Vinyltriethoxysilane,C(=C)[Si](OCC)(OCC)OCC,34.0
"1,3-Divinyltetramethyldisilazane",C(=C)[Si](N[Si](C=C)(C)C)(C)C,34.0
Diethyldiethoxysilane,C(C)[Si](OCC)(OCC)CC,43.0
Tetraethoxysilane,C(C)O[Si](OCC)(OCC)OCC,50.0
Tetraethylsilane,C(C)[Si](CC)(CC)CC,32.0
Aminoethylaminopropyltrimethoxysilane,NCCNCCC[Si](OC)(OC)OC,-4.0
Tetramethyldiethoxysiloxane,CC(C(O[Si]([O])OCC)(C)C)C,38.0
Octamethyltrisiloxane,C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,30.0
Octamethylcyclotetrasiloxane,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,57.0
Octamethylcyclotetrasilazane,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,66.0
Tetrakisdimethylsiloxysilane,C[SiH](O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C)C,67.0
p-Chlorophenyltrimethylsilane,ClC1=CC=C(C=C1)[Si](C)(C)C,49.0
Phenyltrimethoxysilane,C1(=CC=CC=C1)[Si](OC)(OC)OC,85.0
Trimethylphenylsilane,C[Si](C1=CC=CC=C1)(C)C,40.0
Cyclohexylmethyldimethoxysilane,C1(CCCCC1)C[SiH](OC)OC,70.0
