compound,smiles,flashPoint
(3-ACETAMIDOPROPYL)TRIMETHOXYSILANE,C(C)(=O)NCCC[Si](OC)(OC)OC,65
ACETOXYETHYLDIMETHYLCHLOROSILANE,C(C)(=O)OCC[Si](Cl)(C)C,63
ACETOXYETHYLMETHYLDICHLOROSILANE,C(C)(=O)OCC[Si](Cl)(Cl)C,65
ACETOXYETHYLTRICHLOROSILANE,C(C)(=O)OCC[Si](Cl)(Cl)Cl,82
ACETOXYETHYLTRIETHOXYSILANE,C(C)(=O)OCC[Si](OCC)(OCC)OCC,99
ACETOXYETHYLTRIMETHOXYSILANE,C(C)(=O)OCC[Si](OC)(OC)OC,60
ACETOXYETHYLTRIS(DIMETHYLAMINO)SILANE,C(C)(=O)OCC[Si](N(C)C)(N(C)C)N(C)C,40
ACETOXYHEPTAMETHYLCYCLOTETRASILOXANE,C(C)(=O)O[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,65
ACETOXYMETHYLTRIETHOXYSILANE,C(C)(=O)OC[Si](OCC)(OCC)OCC,60
ACETOXYMETHYLTRIMETHYLSILANE,C(C)(=O)OC[Si](C)(C)C,20
4-ACETOXYPHENETHYLTRICHLOROSILANE,C(C)(=O)OC1=CC=C(CC[Si](Cl)(Cl)Cl)C=C1,110
3-(3-ACETOXYPROPYL)HEPTAMETHYLTRISILOXANE,C(C)(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,65
3-ACETOXYPROPYLMETHYLDICHLOROSILANE,C(C)(=O)OCCC[Si](Cl)(Cl)C,85
3-ACETOXYPROPYLMETHYLDIMETHOXYSILANE,C(C)(=O)OCCC[Si](OC)(OC)C,-1
3-ACETOXYPROPYLTRIMETHOXYSILANE,C(C)(=O)OCCC[Si](OC)(OC)OC,93
ACETOXYTRIMETHYLSILANE,C(C)(=O)O[Si](C)(C)C,4
11-ACETOXYUNDECYLTRICHLOROSILANE,C(C)(=O)OCCCCCCCCCCC[Si](Cl)(Cl)Cl,-1
11-ACETOXYUNDECYLTRIETHOXYSILANE,C(C)(=O)OCCCCCCCCCCC[Si](OCC)(OCC)OCC,150
N-(ACETYLGLYCYL)-3-AMINOPROPYLTRIMETHOXYSILANE,C(C)(=O)NCC(=O)NCCC[Si](OC)(OC)OC,11
3-(N-ACETYL-4-HYDROXYPROLYLOXY)PROPYLTRIETHOXYSILANE,C(C)(=O)N1[C@@H](CC(C1)O)C(=O)OCCC[Si](OCC)(OCC)OCC,15
N-(N-ACETYLLEUCYL)-3-AMINOPROPYLTRIETHOXYSILANE,C(C)(=O)N[C@@H](CC(C)C)C(=O)NCCC[Si](OCC)(OCC)OCC,15
ACETYLTRIMETHYLSILANE,C(C)(=O)[Si](C)(C)C,8
3-ACRYLAMIDOPROPYLTRIMETHOXYSILANE,C(C=C)(=O)NCCC[Si](OC)(OC)OC,110
3-ACRYLAMIDOPROPYLTRIS(TRIMETHYLSILOXY)SILANE,C(C=C)(=O)NCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,110
(2-ACRYLOXYETHOXY)TRIMETHYLSILANE,C(C=C)(=O)OCCO[Si](C)(C)C,65
N-(3-ACRYLOXY-2-HYDROXYPROPYL)-3-AMINOPROPYLTRIETHOXYSILANE,C(C=C)(=O)OCC(CNCCC[Si](OCC)(OCC)OCC)O,15
ACRYLOXYMETHYLTRIMETHOXYSILANE,C(C=C)(=O)OC[Si](OC)(OC)OC,62
(ACRYLOXYMETHYL)PHENETHYLTRIMETHOXYSILANE,C(C=C)(=O)OCCO[Si](OC)(OC)CCC1=CC=CC=C1,20
ACRYLOXYMETHYLTRIMETHYLSILANE,C(C=C)(=O)OC[Si](C)(C)C,20
(3-ACRYLOXYPROPYL)DIMETHYLMETHOXYSILANE,C(C=C)(=O)OCCC[Si](OC)(C)C,85
(3-ACRYLOXYPROPYL)METHYLBIS(TRIMETHYLSILOXY)SILANE,C(C=C)(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,110
(3-ACRYLOXYPROPYL)METHYLDICHLOROSILANE,C(C=C)(=O)OCCC[Si](Cl)(Cl)C,100
(3-ACRYLOXYPROPYL)METHYLDIETHOXYSILANE,C(C=C)(=O)OCCC[Si](OCC)(OCC)C,110
(3-ACRYLOXYPROPYL)TRICHLOROSILANE,C(C=C)(=O)OCCC[Si](Cl)(Cl)Cl,110
(3-ACRYLOXYPROPYL)TRIMETHOXYSILANE,C(C=C)(=O)OCCC[Si](OC)(OC)OC,123
(3-ACRYLOXYPROPYL)TRIS(TRIMETHYLSILOXY)SILANE,C(C=C)(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,93
ACRYLOXYTRIISOPROPYLSILANE,C(C=C)(=O)O[Si](C(C)C)(C(C)C)C(C)C,65
ACRYLOXYTRIMETHYLSILANE,C(C=C)(=O)O[Si](C)(C)C,26
ADAMANTYLETHYLTRICHLOROSILANE,C12(CC3CC(CC(C1)C3)C2)CC[Si](Cl)(Cl)Cl,155
3-(N-ALLYLAMINO)PROPYLTRIMETHOXYSILANE,C(C=C)NCCC[Si](OC)(OC)OC,88
ALLYLAMINOTRIMETHYLSILANE,C(C=C)N[Si](C)(C)C,10
ALLYL(CHLOROMETHYL)DIMETHYLSILANE,C(C=C)[Si](C)(C)CCl,27
ALLYL(3-CHLOROPROPYL)DICHLOROSILANE,C(C=C)[Si](Cl)(Cl)CCCCl,76
ALLYLDICHLOROSILANE,C(C=C)[SiH](Cl)Cl,4
ALLYLDIMETHOXYSILANE,C(C=C)[SiH](OC)OC,38
ALLYLDIMETHYLCHLOROSILANE,C(C=C)[Si](Cl)(C)C,5
ALLYLDIMETHYL(DIISOPROPYLAMINO)SILANE,C(C=C)[Si](N(C(C)C)C(C)C)(C)C,62
ALLYLDIMETHYLSILANE,C(C=C)[SiH](C)C,20
ALLYL(4-METHOXYPHENYL)DIMETHYLSILANE,C(C=C)[Si](C)(C)C1=CC=C(C=C1)OC,102
ALLYLMETHYLDICHLOROSILANE,C(C=C)C[SiH](Cl)Cl,27
ALLYLOXY-t-BUTYLDIMETHYLSILANE,C(C=C)O[Si](C)(C)C(C)(C)C,32
ALLYLOXYTRIMETHYLSILANE,C(C=C)O[Si](C)(C)C,0
ALLYLMETHYLDIMETHOXYSILANE,C(C=C)C[SiH](OC)OC,40
ALLYLPHENYLDICHLOROSILANE,C(C=C)[Si](Cl)(Cl)C1=CC=CC=C1,76
m-ALLYLPHENYLPROPYLTRIETHOXYSILANE,C(C=C)C=1C=C(C=CC1)CCC[Si](OCC)(OCC)OCC,110
ALLYLTRICHLOROSILANE,C(C=C)[Si](Cl)(Cl)Cl,31
ALLYLTRIETHOXYSILANE,C(C=C)[Si](OCC)(OCC)OCC,47
ALLYLTRIISOPROPYLSILANE,C(C=C)[Si](C(C)C)(C(C)C)C(C)C,76
ALLYLTRIMETHOXYSILANE,C(C=C)[Si](OC)(OC)OC,46
ALLYLTRIMETHYLSILANE,C(C=C)[Si](C)(C)C,7
ALLYLTRIPHENYLSILANE,C(C=C)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,200
ALLYLTRIS(TRIMETHYLSILOXY)SILANE,C(C=C)[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,67
4-AMINOBUTYLTRIETHOXYSILANE,NCCCC[Si](OCC)(OCC)OCC,109
1-AMINO-2-(DIMETHYLETHOXYSILYL)PROPANE,NCC(C)[Si](OCC)(C)C,65
(AMINOETHYLAMINOMETHYL)PHENETHYLTRIMETHOXYSILANE,NCCNCCO[Si](OC)(OC)CCC1=CC=CC=C1,110
N-(2-AMINOETHYL)-3-AMINOPROPYLMETHYLDIETHOXYSILANE,NCCNCCC[Si](OCC)(OCC)C,110
N-(2-AMINOETHYL)-3-AMINOPROPYLMETHYLDIMETHOXYSILANE,NCCNCCC[Si](OC)(OC)C,90
N-(2-AMINOETHYL)-3-AMINOPROPYLSILANETRIOL,NCCNCCC[Si](O)(O)O,110
N-(2-AMINOETHYL)-3-AMINOPROPYLTRIETHOXYSILANE,NCCNCCC[Si](OCC)(OCC)OCC,148
N-(2-AMINOETHYL)-3-AMINOPROPYLTRIMETHOXYSILANE,NCCNCCC[Si](OC)(OC)OC,150
N-(2-AMINOETHYL)-3-AMINOPROPYLTRIMETHOXYSILANE-PROPYLTRIMETHOXYSILANE,C(CC)[Si](OC)(OC)OC.NCCNCCC[Si](OC)(OC)OC,110
N-(6-AMINOHEXYL)AMINOMETHYLTRIETHOXYSILANE,NCCCCCCNC[Si](OCC)(OCC)OCC,110
N-(6-AMINOHEXYL)AMINOPROPYLTRIMETHOXYSILANE,NCCCCCCNCCC[Si](OC)(OC)OC,110
N-(2-AMINOETHYL)-11-AMINOUNDECYLTRIMETHOXYSILANE,NCCNCCCCCCCCCCC[Si](OC)(OC)OC,150
AMINOMETHYLTRIMETHYLSILANE,NC[Si](C)(C)C,9
3-(m-AMINOPHENOXY)PROPYLTRIMETHOXYSILANE,NC=1C=C(OCCC[Si](OC)(OC)OC)C=CC1,110
m-AMINOPHENYLTRIMETHOXYSILANE,NC=1C=C(C=CC1)[Si](OC)(OC)OC,180
p-AMINOPHENYLTRIMETHOXYSILANE,NC1=CC=C(C=C1)[Si](OC)(OC)OC,180
