productCode,casNum,compound,smiles,flashPoint,img,sds
AKA010,3085-30-1,ALUMINUM n-BUTOXIDE,[O-]CCCC.[Al+3].[O-]CCCC.[O-]CCCC,65,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKA010.gif,https://s3.amazonaws.com/gelest/sds/AKA010_GHS+US_English+US.pdf
AKA030,556-91-2,ALUMINUM t-BUTOXIDE,CC(C)(C)[O-].[Al+3].CC(C)(C)[O-].CC(C)(C)[O-],65,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKA030.gif,https://s3.amazonaws.com/gelest/sds/AKA030_GHS+US_English+US.pdf
AKA036,41584-66-1,ALUMINUM 5-CHLORO-8-HYDROXYQUINOLINATE,ClC1=C2C=CC(=NC2=C(C=C1)O)C(=O)[O-].[Al+3].ClC1=C2C=CC(=NC2=C(C=C1)O)C(=O)[O-].ClC1=C2C=CC(=NC2=C(C=C1)O)C(=O)[O-],-1,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKA036.gif,https://s3.amazonaws.com/gelest/sds/AKA036_GHS+US_English+US.pdf
AKA050,14782-75-3,ALUMINUM DIISOPROPOXIDE ETHYLACETOACETATE,C(C)OC(CC(=O)C)=O.CC([O-])C.CC([O-])C.[Al+2],50,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKA050.gif,https://s3.amazonaws.com/gelest/sds/AKA050_GHS+US_English+US.pdf
AKA067,2085-33-8,ALUMINUM 8-HYDROXYQUINOLINATE,OC=1C=CC=C2C=CC(=NC12)C(=O)[O-].[Al+3].OC=1C=CC=C2C=CC(=NC12)C(=O)[O-].OC=1C=CC=C2C=CC(=NC12)C(=O)[O-],20,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKA067.gif,https://s3.amazonaws.com/gelest/sds/AKA067_GHS+US_English+US.pdf
AKA070,555-31-7,ALUMINUM ISOPROPOXIDE,CC([O-])C.[Al+3].CC([O-])C.CC([O-])C,-1,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKA070.gif,https://s3.amazonaws.com/gelest/sds/AKA070_GHS+US_English+US.pdf
AKA076,15305-07-4,ALUMINUM N-NITROSOPHENYLHYDROXYLAMINE,N(=O)N(O)C1=CC=CC=C1.[Al],-1,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKA076.gif,https://s3.amazonaws.com/gelest/sds/AKA076_GHS+US_English+US.pdf
AKA078,80481-35-2,ALUMINUM 9-OCTADECENYLACETOACETATE DIISOPROPOXIDE,CC([O-])C.CC([O-])C.C(CCCCCCCC=CCCCCCCCC)CC(CC(=O)[O-])=O.[Al+3],21,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKA078.gif,https://s3.amazonaws.com/gelest/sds/AKA078_GHS+US_English+US.pdf
AKA090,2155-74-0,ANTIMONY(III) n-BUTOXIDE,[O-]CCCC.[Sb+3].[O-]CCCC.[O-]CCCC,6,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKA090.gif,https://s3.amazonaws.com/gelest/sds/AKA090_GHS+US_English+US.pdf
AKA100,10433-06-4,ANTIMONY(III) ETHOXIDE,[O-]CC.[Sb+3].[O-]CC.[O-]CC,-1,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKA100.gif,https://s3.amazonaws.com/gelest/sds/AKA100_GHS+US_English+US.pdf
AKA115,3141-12-6,ARSENIC TRIETHOXIDE,[O-]CC.[O-]CC.[O-]CC.[As+3],49,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKA115.gif,https://s3.amazonaws.com/gelest/sds/AKA115_GHS+US_English+US.pdf
AKB120,24363-37-9,BARIUM ISOPROPOXIDE,CC([O-])C.[Ba+2].CC([O-])C,20,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKB120.gif,https://s3.amazonaws.com/gelest/sds/AKB120_GHS+US_English+US.pdf
AKB121,24363-37-9,BARIUM ISOPROPOXIDE,CC([O-])C.[Ba+2].CC([O-])C,12,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKB121.gif,https://s3.amazonaws.com/gelest/sds/AKB121_GHS+US_English+US.pdf
AKB152,15049-67-9,BISMUTH(III) ISOPROPOXIDE,CC([O-])C.[Bi+3].CC([O-])C.CC([O-])C,20,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKB152.gif,https://s3.amazonaws.com/gelest/sds/AKB152_GHS+US_English+US.pdf
AKB154,1693-71-6,BORON ALLYLOXIDE,C(C=C)OCC=C.[B],31,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKB154.gif,https://s3.amazonaws.com/gelest/sds/AKB154_GHS+US_English+US.pdf
AKB155,688-74-4,BORON n-BUTOXIDE,[O-]CCCC.[B+3].[O-]CCCC.[O-]CCCC,93,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKB155.gif,https://s3.amazonaws.com/gelest/sds/AKB155_GHS+US_English+US.pdf
AKB156,7397-43-5,BORON t-BUTOXIDE,CC(C)(C)[O-].[B+3].CC(C)(C)[O-].CC(C)(C)[O-],29,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKB156.gif,https://s3.amazonaws.com/gelest/sds/AKB156_GHS+US_English+US.pdf
