productCode,casNum,compound,smiles,flashPoint,img,sds
SIA0006.0,57757-66-1,(3-ACETAMIDOPROPYL)TRIMETHOXYSILANE,C(C)(=O)NCCC[Si](OC)(OC)OC,65,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0006.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0006.0_GHS+US_English+US.pdf
SIA0010.0,18306-45-1,ACETOXYETHYLDIMETHYLCHLOROSILANE,C(C)(=O)OCC[Si](Cl)(C)C,63,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0010.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0010.0_GHS+US_English+US.pdf
SIA0015.0,18163-34-3,ACETOXYETHYLMETHYLDICHLOROSILANE,C(C)(=O)OCC[Si](Cl)(Cl)C,65,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0015.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0015.0_GHS+US_English+US.pdf
SIA0020.0,18204-80-3,ACETOXYETHYLTRICHLOROSILANE,C(C)(=O)OCC[Si](Cl)(Cl)Cl,82,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0020.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0020.0_GHS+US_English+US.pdf
SIA0025.0,22538-45-0,ACETOXYETHYLTRIETHOXYSILANE,C(C)(=O)OCC[Si](OCC)(OCC)OCC,99,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0025.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0025.0_GHS+US_English+US.pdf
SIA0030.0,72878-29-6,ACETOXYETHYLTRIMETHOXYSILANE,C(C)(=O)OCC[Si](OC)(OC)OC,60,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0030.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0030.0_GHS+US_English+US.pdf
SIA0035.0,1356113-09-1,ACETOXYETHYLTRIS(DIMETHYLAMINO)SILANE,C(C)(=O)OCC[Si](N(C)C)(N(C)C)N(C)C,40,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0035.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0035.0_GHS+US_English+US.pdf
SIA0038.0,14697-86-0,ACETOXYHEPTAMETHYLCYCLOTETRASILOXANE,C(C)(=O)O[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,65,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0038.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0038.0_GHS+US_English+US.pdf
SIA0050.0,5630-83-1,ACETOXYMETHYLTRIETHOXYSILANE,C(C)(=O)OC[Si](OCC)(OCC)OCC,60,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0050.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0050.0_GHS+US_English+US.pdf
SIA0060.0,2917-65-9,ACETOXYMETHYLTRIMETHYLSILANE,C(C)(=O)OC[Si](C)(C)C,20,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0060.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0060.0_GHS+US_English+US.pdf
SIA0070.0,627882-90-0/282534-42-3,4-ACETOXYPHENETHYLTRICHLOROSILANE,C(C)(=O)OC1=CC=C(CC[Si](Cl)(Cl)Cl)C=C1,110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0070.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0070.0_GHS+US_English+US.pdf
SIA0088.0,18044-09-2,3-(3-ACETOXYPROPYL)HEPTAMETHYLTRISILOXANE,C(C)(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,65,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0088.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0088.0_GHS+US_English+US.pdf
SIA0090.0,5290-24-4,3-ACETOXYPROPYLMETHYLDICHLOROSILANE,C(C)(=O)OCCC[Si](Cl)(Cl)C,85,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0090.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0090.0_GHS+US_English+US.pdf
SIA0100.0,59004-18-1,3-ACETOXYPROPYLTRIMETHOXYSILANE,C(C)(=O)OCCC[Si](OC)(OC)OC,93,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0100.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0100.0_GHS+US_English+US.pdf
SIA0110.0,2754-27-0,ACETOXYTRIMETHYLSILANE,C(C)(=O)O[Si](C)(C)C,4,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0110.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0110.0_GHS+US_English+US.pdf
SIA0115.0,959053-85-1,11-ACETOXYUNDECYLTRIETHOXYSILANE,C(C)(=O)OCCCCCCCCCCC[Si](OCC)(OCC)OCC,150,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0115.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0115.0_GHS+US_English+US.pdf
SIA0120.2,1274903-53-5,N-(ACETYLGLYCYL)-3-AMINOPROPYLTRIMETHOXYSILANE,C(C)(=O)NCC(=O)NCCC[Si](OC)(OC)OC,11,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0120.2.gif,https://s3.amazonaws.com/gelest/sds/SIA0120.2_GHS+US_English+US.pdf
SIA0126.0,1300591-79-0,3-(N-ACETYL-4-HYDROXYPROLYLOXY)PROPYLTRIETHOXYSILANE,C(C)(=O)N1[C@@H](CC(C1)O)C(=O)OCCC[Si](OCC)(OCC)OCC,15,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0126.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0126.0_GHS+US_English+US.pdf
SIA0127.0,1367348-25-1,N-(N-ACETYLLEUCYL)-3-AMINOPROPYLTRIETHOXYSILANE,C(C)(=O)N[C@@H](CC(C)C)C(=O)NCCC[Si](OCC)(OCC)OCC,15,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0127.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0127.0_GHS+US_English+US.pdf
SIA0130.0,13411-48-8,ACETYLTRIMETHYLSILANE,C(C)(=O)[Si](C)(C)C,8,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0130.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0130.0_GHS+US_English+US.pdf
SIA0146.0,57577-96-5,3-ACRYLAMIDOPROPYLTRIMETHOXYSILANE,C(C=C)(=O)NCCC[Si](OC)(OC)OC,110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0146.0.gif,https://s3.amazonaws.com/gelest/sds/SIA0146.0_GHS+US_English+US.pdf
