productCode,casNum,compound,smiles,flashPoint,img,sds
ENEA0015,591-87-7,Allyl acetate,C(C)(=O)OCC=C,11,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0015.gif,https://s3.amazonaws.com/gelest/sds/ENEA0015_GHS+US_English+US.pdf
ENEA0020,999-55-3,Allyl acrylate,C(C=C)(=O)OCC=C,32,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0020.gif,https://s3.amazonaws.com/gelest/sds/ENEA0020_GHS+US_English+US.pdf
ENEA0040,300-57-2,Allylbenzene,C(C=C)C1=CC=CC=C1,40,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0040.gif,https://s3.amazonaws.com/gelest/sds/ENEA0040_GHS+US_English+US.pdf
ENEA0050,106-95-6,Allyl bromide,C(C=C)Br,2,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0050.gif,https://s3.amazonaws.com/gelest/sds/ENEA0050_GHS+US_English+US.pdf
ENEA0055,40630-82-8,Allyl 2-bromo-2-methylpropionate,BrC(C(=O)OCC=C)(C)C,64,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0055.gif,https://s3.amazonaws.com/gelest/sds/ENEA0055_GHS+US_English+US.pdf
ENEA0070,107-05-1,Allyl chloride,C(C=C)Cl,31,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0070.gif,https://s3.amazonaws.com/gelest/sds/ENEA0070_GHS+US_English+US.pdf
ENEA0080,106-92-3,Allyl glycidyl ether,C(C1CO1)OCC=C,57,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0080.gif,https://s3.amazonaws.com/gelest/sds/ENEA0080_GHS+US_English+US.pdf
ENEA0090,1476-23-9,Allyl isocyanate,C(C=C)N=C=O,43,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0090.gif,https://s3.amazonaws.com/gelest/sds/ENEA0090_GHS+US_English+US.pdf
ENEA0120,96-05-9,Allyl methacrylate,C(C(=C)C)(=O)OCC=C,39,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0120.gif,https://s3.amazonaws.com/gelest/sds/ENEA0120_GHS+US_English+US.pdf
ENEA0200,111-45-5,2-Allyloxyethanol,C(C=C)OCCO,66,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0200.gif,https://s3.amazonaws.com/gelest/sds/ENEA0200_GHS+US_English+US.pdf
ENEA0250,175668-89-0,2-(Allyloxymethyl)tetrahydrofuran,C(C=C)OCC1OCCC1,40,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0250.gif,https://s3.amazonaws.com/gelest/sds/ENEA0250_GHS+US_English+US.pdf
ENEA0378,1736-60-3,Allylpentafluorobenzene,C(C=C)C1=C(C(=C(C(=C1F)F)F)F)F,43,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0378.gif,https://s3.amazonaws.com/gelest/sds/ENEA0378_GHS+US_English+US.pdf
ENEA0380,1746-13-0,ALLYLPHENYL ETHER,C(C=C)OC1=CC=CC=C1,66,https://www.gelest.com:443/wp-content/uploads/ENEA0380-460x460.png,https://s3.amazonaws.com/gelest/sds/ENEA0380_GHS+US_English+US.pdf
ENEA0430,7539-12-0,Allylsuccinic anhydride,C(C=C)C1C(=O)OC(C1)=O,145,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0430.gif,https://s3.amazonaws.com/gelest/sds/ENEA0430_GHS+US_English+US.pdf
ENEB0525,5162-44-7,4-Bromo-1-butene,BrCCC=C,1,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEB0525.gif,https://s3.amazonaws.com/gelest/sds/ENEB0525_GHS+US_English+US.pdf
ENEB0550,4117-09-3,7-Bromo-1-heptene,BrCCCCCC=C,58,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEB0550.gif,https://s3.amazonaws.com/gelest/sds/ENEB0550_GHS+US_English+US.pdf
