No,Compond Name,CAS NO.,Status,Observed,Predicted,RNF,1X,Qmax,DPSA2,IB,δtot2
1,Trichlorosilane,10025-78-2,Training,245.15,241.34,0,1.73,0.1,38.01,0.02,-8.25
2,Methyltrichlorosilane,75-79-6,Training,276.15,272.06,0,2,0.05,46.11,0.01,-8.1
3,Vinyltrichlorosilane,75-94-5,Training,294.15,292.66,0,2.56,0.06,50.4,0,-8.09
4,Dichloromethylmethyldichlorosilane,1558-31-2,Training,301.15,319.43,0,2.94,0.09,88.74,0,-13.25
5,Ethyltrichlorosilane,115-21-9,Training,263.15,293.22,0,2.56,0.05,56.73,0,-7.59
6,Dimethylchlorosilane,1066-35-9,Training,245.15,246.78,0,1.73,0.05,45.6,0.01,-3.66
7,Ethylsilane,2814-79-1,Training,213.15,211.34,0,1.41,0.02,32.68,0.02,0.65
8,"Trichloro(3,3,3-trifluoropropyl)silane",592-09-6,Training,288.15,277.86,0.21,4.21,0.17,168.18,0,-20.09
9,Allyltrichlorosilane,107-37-9,Training,304.15,310.34,0,3.06,0.05,64.34,0,-8.04
10,Methylvinyidichlorosilane,124-70-9,Training,272.15,290.7,0,2.56,0.03,52.47,0,-6.54
11,3-Chloropropyltrichlorosilane,6/3/2550,Training,357.15,346.41,0,3.56,0.05,101.26,0,-14.49
12,n-Propyltrichlorosilane,141-57-1,Training,310.15,308.38,0,3.06,0.05,69.08,0,-7.24
13,Chloromethyldimethylchlorosilane,1719-57-9,Training,295.15,296.36,0,2.56,0.04,79.17,0,-8.2
14,Trimethyl bromosilane,2857-97-8,Training,270.15,263.15,0,2,0.02,51.5,0,-1.76
15,Trimethylchlorosilane,75-77-4,Training,255.15,262.71,0,2,0.02,55.29,0.01,-3.03
16,Trimethylfluorosilane,420-56-4,Training,238.15,222.06,0.07,2,0.02,56.78,0.01,-2.26
17,Trimethoxysilane,2487-90-3,Training,264.15,267.75,0,3.35,0.08,148.15,0,4.24
18,2-Cyanoethylmethyldichlorosilane,1071-21-2,Training,333.15,329.43,0,3.56,0.03,76.77,0,-8.97
19,Allylmethyldichlorosilane,1873-92-3,Training,300.15,306.9,0,3.06,0.03,64.47,0,-6.36
21,t-Butyltrichlorosilane,18171-74-9,Training,294.15,310.35,0,3.25,0.05,75.91,0,-6.25
22,Isobutyltrichlorosilane,18169-57-8,Training,310.15,318.2,0,3.42,0.05,84.43,0,-7.18
23,n-Butyltrichlorosilane,7521-80-4,Training,327.15,321.93,0,3.56,0.05,87.16,0,-7.11
24,Trimethylsilylisothiocyanate,2290-65-5,Training,308.15,270.88,0,3.06,0.04,73.54,0,4.41
25,n-Propylmethyldichlorosilane,4518-94-9,Training,300.15,304.97,0,3.06,0.03,72.55,0,-5.64
26,Bromomethyltrimethylsilane,18243-41-9,Training,289.15,277.89,0,2.56,0.03,69.79,0,-1.33
