compound,CAS NO.,Status,flashPoint,Predicted,RNF,1X,Qmax,DPSA2,IB,δtot2,smiles,id
Trichlorosilane,10025-78-2,Training,-27.999999999999968,-31.809999999999967,0.0,1.73,0.1,38.01,0.02,-8.25,Cl[SiH](Cl)Cl,molid1
Methyltrichlorosilane,75-79-6,Training,3.0,-1.089999999999975,0.0,2.0,0.05,46.11,0.01,-8.1,C[Si](Cl)(Cl)Cl,molid2
Vinyltrichlorosilane,75-94-5,Training,21.0,19.510000000000048,0.0,2.56,0.06,50.4,0.0,-8.09,C(=C)[Si](Cl)(Cl)Cl,molid3
Dichloromethylmethyldichlorosilane,1558-31-2,Training,28.0,46.28000000000003,0.0,2.94,0.09,88.74,0.0,-13.25,ClC(Cl)[Si](Cl)(Cl)C,molid4
Ethyltrichlorosilane,115-21-9,Training,-10.0,20.07000000000005,0.0,2.56,0.05,56.73,0.0,-7.59,C(C)[Si](Cl)(Cl)Cl,molid5
Dimethylchlorosilane,1066-35-9,Training,-27.999999999999968,-26.369999999999976,0.0,1.73,0.05,45.6,0.01,-3.66,C[SiH](Cl)C,molid6
Ethylsilane,2814-79-1,Training,-59.99999999999997,-61.809999999999974,0.0,1.41,0.02,32.68,0.02,0.65,C(C)[SiH3],molid7
"Trichloro(3,3,3-trifluoropropyl)silane",592-09-6,Training,15.0,4.710000000000036,0.21,4.21,0.17,168.18,0.0,-20.09,Cl[Si](CCC(F)(F)F)(Cl)Cl,molid8
Allyltrichlorosilane,107-37-9,Training,31.0,37.19,0.0,3.06,0.05,64.34,0.0,-8.04,C(C=C)[Si](Cl)(Cl)Cl,molid9
3-Chloropropyltrichlorosilane,6/3/2550,Training,84.0,73.26000000000005,0.0,3.56,0.05,101.26,0.0,-14.49,ClCCC[Si](Cl)(Cl)Cl,molid10
n-Propyltrichlorosilane,141-57-1,Training,37.0,35.230000000000025,0.0,3.06,0.05,69.08,0.0,-7.24,C(CC)[Si](Cl)(Cl)Cl,molid11
Chloromethyldimethylchlorosilane,1719-57-9,Training,22.0,23.210000000000036,0.0,2.56,0.04,79.17,0.0,-8.2,ClC[Si](Cl)(C)C,molid12
Trimethyl bromosilane,2857-97-8,Training,-3.0,-10.0,0.0,2.0,0.02,51.5,0.0,-1.76,C[Si](Br)(C)C,molid13
Trimethylchlorosilane,75-77-4,Training,-17.999999999999968,-10.439999999999998,0.0,2.0,0.02,55.29,0.01,-3.03,C[Si](Cl)(C)C,molid14
Trimethylfluorosilane,420-56-4,Training,-34.999999999999964,-51.08999999999998,0.07,2.0,0.02,56.78,0.01,-2.26,C[Si](F)(C)C,molid15
Trimethoxysilane,2487-90-3,Training,-9.0,-5.399999999999976,0.0,3.35,0.08,148.15,0.0,4.24,CO[SiH](OC)OC,molid16
2-Cyanoethylmethyldichlorosilane,1071-21-2,Training,60.0,56.28000000000003,0.0,3.56,0.03,76.77,0.0,-8.97,C(#N)CC[Si](Cl)(Cl)C,molid17
Allylmethyldichlorosilane,1873-92-3,Training,27.0,33.75,0.0,3.06,0.03,64.47,0.0,-6.36,C(C=C)C[SiH](Cl)Cl,molid18
t-Butyltrichlorosilane,18171-74-9,Training,21.0,37.200000000000045,0.0,3.25,0.05,75.91,0.0,-6.25,C(C)(C)(C)[Si](Cl)(Cl)Cl,molid19
Isobutyltrichlorosilane,18169-57-8,Training,37.0,45.05000000000001,0.0,3.42,0.05,84.43,0.0,-7.18,C(C(C)C)[Si](Cl)(Cl)Cl,molid20
n-Butyltrichlorosilane,7521-80-4,Training,54.0,48.78000000000003,0.0,3.56,0.05,87.16,0.0,-7.11,C(CCC)[Si](Cl)(Cl)Cl,molid21
Trimethylsilylisothiocyanate,2290-65-5,Training,35.0,-2.269999999999982,0.0,3.06,0.04,73.54,0.0,4.41,C[Si](C)(C)N=C=S,molid22
n-Propylmethyldichlorosilane,4518-94-9,Training,27.0,31.820000000000054,0.0,3.06,0.03,72.55,0.0,-5.64,C(CC)[Si](Cl)(Cl)C,molid23
Bromomethyltrimethylsilane,18243-41-9,Training,16.0,4.740000000000009,0.0,2.56,0.03,69.79,0.0,-1.33,BrC[Si](C)(C)C,molid24
ETHYLDIMETHYLCHLOROSILANE,6917-76-6,Training,-4.0,23.230000000000015,0.0,2.56,0.04,79.34,0.0,-8.21,C(C)[Si](Cl)(C)C,molid25
Methoxytrimethylsilane,1825-61-2,Training,-29.999999999999968,-15.539999999999964,0.0,2.56,0.03,86.42,0.0,2.9,CO[Si](C)(C)C,molid26
Dimethyldimethoxysilane,1112-39-6,Training,-8.0,-3.4099999999999686,0.0,3.12,0.03,118.39,0.0,3.45,C[Si](OC)(OC)C,molid27
