id,compound,smiles,flashPoint
molid1,Trichlorosilane,Cl[SiH](Cl)Cl,-27.999999999999968
molid2,Methyltrichlorosilane,C[Si](Cl)(Cl)Cl,3.0
molid3,Vinyltrichlorosilane,C(=C)[Si](Cl)(Cl)Cl,21.0
molid5,Ethyltrichlorosilane,C(C)[Si](Cl)(Cl)Cl,-10.0
molid6,Dimethylchlorosilane,C[SiH](Cl)C,-27.999999999999968
molid7,Ethylsilane,C(C)[SiH3],-59.99999999999997
molid8,"Trichloro(3,3,3-trifluoropropyl)silane",Cl[Si](CCC(F)(F)F)(Cl)Cl,15.0
molid9,Allyltrichlorosilane,C(C=C)[Si](Cl)(Cl)Cl,31.0
molid10,3-Chloropropyltrichlorosilane,ClCCC[Si](Cl)(Cl)Cl,84.0
molid11,n-Propyltrichlorosilane,C(CC)[Si](Cl)(Cl)Cl,37.0
molid12,Chloromethyldimethylchlorosilane,ClC[Si](Cl)(C)C,22.0
molid13,Trimethyl bromosilane,C[Si](Br)(C)C,-3.0
molid14,Trimethylchlorosilane,C[Si](Cl)(C)C,-17.999999999999968
molid15,Trimethylfluorosilane,C[Si](F)(C)C,-34.999999999999964
molid16,Trimethoxysilane,CO[SiH](OC)OC,-9.0
molid17,2-Cyanoethylmethyldichlorosilane,C(#N)CC[Si](Cl)(Cl)C,60.0
molid18,Allylmethyldichlorosilane,C(C=C)C[SiH](Cl)Cl,27.0
molid19,t-Butyltrichlorosilane,C(C)(C)(C)[Si](Cl)(Cl)Cl,21.0
molid20,Isobutyltrichlorosilane,C(C(C)C)[Si](Cl)(Cl)Cl,37.0
molid22,Trimethylsilylisothiocyanate,C[Si](C)(C)N=C=S,35.0
molid23,n-Propylmethyldichlorosilane,C(CC)[Si](Cl)(Cl)C,27.0
molid24,Bromomethyltrimethylsilane,BrC[Si](C)(C)C,16.0
molid25,ETHYLDIMETHYLCHLOROSILANE,C(C)[Si](Cl)(C)C,-4.0
molid26,Methoxytrimethylsilane,CO[Si](C)(C)C,-29.999999999999968
molid27,Dimethyldimethoxysilane,C[Si](OC)(OC)C,-8.0
molid28,Methyltrimethoxysilane,C[Si](OC)(OC)OC,11.0
molid29,Tetramethoxysilane,CO[Si](OC)(OC)OC,21.0
molid30,Tetramethylsilane,C[Si](C)(C)C,-27.999999999999968
molid31,Diethylsilane,C(C)[SiH2]CC,-19.999999999999968
molid32,"(N,N-Dimethylamino)dimethylsilane",CN(C)[SiH](C)C,-13.0
molid33,Tetraisocyanatosilane,N(=C=O)[Si](N=C=O)(N=C=O)N=C=O,50.0
molid34,Cyclopentyltrichlorosilane,C1(CCCC1)[Si](Cl)(Cl)Cl,77.0
molid35,Trimethylsilyltrifluoroacetate,C[Si](C)(C)OC(C(F)(F)F)=O,0.0
molid36,Cyclopentyldichlorosilane,C1(CCCC1)[SiH](Cl)Cl,43.0
molid37,3-Chloro-2-methylpropylmethyldichlorosilane,ClCC(C[Si](Cl)(Cl)C)C,90.0
molid38,Methylvinyldimethoxysilane,CC=C[SiH](OC)OC,4.0
molid39,Vinyltrimethoxysilane,C(=C)[Si](OC)(OC)OC,23.0
molid40,Trimethylvinylsilane,CC(=C(C)C)[SiH3],-33.999999999999964
molid41,Diethylmethylchlorosilane,C(C)[Si](Cl)(C)CC,15.0
molid42,Chloromethyldimethylethoxysilane,ClC[Si](OCC)(C)C,26.0
molid43,Ethoxytrimethylsilane,C(C)O[Si](C)(C)C,-26.999999999999968
molid44,Ethyltrimethoxysilane,C(C)[Si](OC)(OC)OC,27.0
molid45,"(N,N-Dimethylamino)trimethylsilane",CN(C)[Si](C)(C)C,-18.649999999999977
molid46,Pentamethyldisiloxane,C[SiH](O[Si](C)(C)C)C,-18.999999999999968
molid47,Phenylsilane,C1(=CC=CC=C1)[SiH3],8.0
molid49,Cyclohexyltrichlorosilane,C1(CCCCC1)[Si](Cl)(Cl)Cl,85.0
molid50,Bis(chloromethyl)tetramethyldisiloxane,ClC[Si](O[Si](C)(C)C)(C)CCl,73.0
molid51,Propargyloxytrimethylsilane,C(C#C)O[Si](C)(C)C,27.0
molid52,Divinyldimethylsilane,C(=C)[Si](C)(C)C=C,8.0
molid53,n-Hexyltrichlorosilane,C(CCCCC)[Si](Cl)(Cl)Cl,85.0
molid54,Hexyldichlorosilane,C(CCCCC)[SiH](Cl)Cl,64.0
molid55,"1,1 -Dimethyl-1-sila-2-oxacyclohexane",C[Si]1(OCCCC1)C,14.0
molid56,Acetoxymethyltrimethylsilane,C(C)(=O)OC[Si](C)(C)C,20.0
molid57,Allyltrimethylsilane,C(C=C)[Si](C)(C)C,7.0
molid58,Triethylchlorosilane,C(C)[Si](Cl)(CC)CC,30.0
molid59,t-Butyldimethylchlorosilane,C(C)(C)(C)[Si](Cl)(C)C,22.0
molid60,3-Chloropropylmethyldimethoxysilane,ClCCC[Si](OC)(OC)C,45.0
molid61,Trimethyl-n-propoxysilane,C[Si](OCCC)(C)C,10.0
molid62,t-Butyldimethylsilanol,C(C)(C)(C)[Si](O)(C)C,45.0
molid63,Dimethyldiethoxysilane,C[Si](OCC)(OCC)C,11.0
molid64,Triethylsilane,C(C)[SiH](CC)CC,-3.0
molid65,Hexylsilane,C(CCCCC)[SiH3],12.0
molid66,t-Butyld imethyl silane,C(C)(C)(C)[SiH](C)C,-21.999999999999968
molid67,Bis(dimethylamino)dimethylsilane,CN(C)[Si](C)(C)N(C)C,-7.0
molid68,Hexamethylcyclotrisiloxane,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,32.0
molid69,Hexamethyldisilthiane,C[Si](S[Si](C)(C)C)(C)C,26.0
molid70,Hexamethyldisilazane,C[Si](N[Si](C)(C)C)(C)C,8.0
molid71,Tris(dimethylamino)silane,CN(C)[SiH](N(C)C)N(C)C,25.0
molid72,Hexamethyltrisiloxane,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,20.0
molid74,Phenylmethylchlorosilane,C1(=CC=CC=C1)C[SiH2]Cl,82.0
molid75,Methyltriacetoxysilane,C[Si](OC(C)=O)(OC(C)=O)OC(C)=O,85.0
molid76,Trivinylmethylsilane,C(=C)C(C=C)(C=C)[SiH3],15.0
molid77,Cyclohexylmethyldichlorosilane,C1(CCCCC1)C[SiH](Cl)Cl,82.0
molid78,"1-(Trimethylsiloxy)-1,3-butadiene",C[Si](OC=CC=C)(C)C,25.0
molid79,2-Chloromethyl-3-trimethylsilyl-1-propene,ClCC(=C)C[Si](C)(C)C,43.0
molid80,n-Heptyltrichlorosilane,C(CCCCCC)[Si](Cl)(Cl)Cl,64.0
molid81,n-Hexylmethyldichlorosilane,C(CCCCC)[Si](Cl)(Cl)C,85.0
molid83,N-(Trimethylsilyl)morpholine,C[Si](N1CCOCC1)(C)C,27.0
molid85,(1-Methoxy-2-propoxy)trimethylsilane,COCC(C)O[Si](C)(C)C,20.0
molid86,Methyltriethoxysilane,C[Si](OCC)(OCC)OCC,24.0
molid87,(Diethylamino)trimethylsilane,C(C)N(CC)[Si](C)(C)C,10.0
molid88,Bis(trimethylsilyl)methane,C[Si](C)(C)C[Si](C)(C)C,12.0
molid89,Heptamethyldisilazane,C[Si](N([Si](C)(C)C)C)(C)C,27.0
molid90,Bis(trimethylsiloxy)methylsilane,C[Si](OC(O[Si](C)(C)C)[SiH3])(C)C,23.0
molid91,Tetravinylsilane,C(=C)[Si](C=C)(C=C)C=C,18.0
molid92,Cyclopentadienyltrimethylsilane,C1(C=CC=C1)[Si](C)(C)C,29.0
molid93,(Cyclopentenyloxy)trimethylsilane,C1(=CCCC1)O[Si](C)(C)C,38.0
molid94,"(2,4-Pentadienyl)trimethylsilane",C(C=CC=C)[Si](C)(C)C,18.0
molid96,n-Heptylmethyldichlorosilane,C(CCCCCC)[Si](Cl)(Cl)C,66.0
molid97,Tetramethyldivinyldisiloxane,C[Si](O[Si](C=C)(C=C)C)(C)C,19.0
molid98,Triethylacetoxysilane,C(C)C(C(=O)O[SiH3])(CC)CC,41.0
molid99,Vinyltriethoxysilane,C(=C)[Si](OCC)(OCC)OCC,34.0
molid100,"1,3-Divinyltetramethyldisilazane",C(=C)[Si](N[Si](C=C)(C)C)(C)C,34.0
molid101,Diethyldiethoxysilane,C(C)[Si](OCC)(OCC)CC,43.0
molid102,Tetraethoxysilane,C(C)O[Si](OCC)(OCC)OCC,50.0
molid103,Tetraethylsilane,C(C)[Si](CC)(CC)CC,32.0
molid104,Aminoethylaminopropyltrimethoxysilane,NCCNCCC[Si](OC)(OC)OC,-4.0
molid105,Tetramethyldiethoxysiloxane,CC(C(O[Si]([O])OCC)(C)C)C,38.0
molid106,Octamethyltrisiloxane,C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,30.0
molid107,Octamethylcyclotetrasiloxane,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,57.0
molid108,Octamethylcyclotetrasilazane,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,66.0
molid109,Tetrakisdimethylsiloxysilane,C[SiH](O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C)C,67.0
molid111,Phenyltrimethoxysilane,C1(=CC=CC=C1)[Si](OC)(OC)OC,85.0
molid112,Trimethylphenylsilane,C[Si](C1=CC=CC=C1)(C)C,40.0
molid113,Cyclohexylmethyldimethoxysilane,C1(CCCCC1)C[SiH](OC)OC,70.0
molid114,Hexyltrimethoxysilane,C(CCCCC)[Si](OC)(OC)OC,62.0
molid115,Triisopropylsilane,C(C)(C)[SiH](C(C)C)C(C)C,37.0
molid116,Tri-n-propylsilane,C(CC)[SiH](CCC)CCC,43.0
molid118,Benzyltrimethylsilane,C(C1=CC=CC=C1)[Si](C)(C)C,62.0
molid120,1-Heptynyltrimethylsilane,C(#CCCCCC)[Si](C)(C)C,42.0
molid121,n-Octyldimethylchlorosilane,C(CCCCCCC)[Si](Cl)(C)C,97.0
molid122,Bis(diethylamino)dimethylsilane,C(C)N(CC)[Si](C)(C)N(CC)CC,35.0
molid124,Decamethylcyclopentasiloxane,C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,77.0
