id,iupac,smiles,calc
molid4,2-ethylpyrazine,CCc1cnccn1,-5.809
molid21,2-acetoxyethyl acetate,CC(=O)OCCOC(=O)C,-8.292
molid48,azetidine,C1CNC1,-3.861
molid73,2-(nitrooxy)ethan-1-ol,C(CO[N+](=O)[O-])O,-6.676
molid82,1-bromooctane,CCCCCCCCBr,1.3519999999999999
molid84,5-bromouracil,c1c(c(=O)[nH]c(=O)[nH]1)Br,-17.298
molid95,nitromethane,C[N+](=O)[O-],-2.075
molid110,trimethoxymethylbenzene,COC(c1ccccc1)(OC)OC,-5.559
molid117,1-methoxypropane,CCCOC,-0.598
molid119,3-hydroxybenzonitrile,c1cc(cc(c1)O)C#N,-7.739
molid123,N-methylmethanamine,CNC,-2.991
molid127,phenanthrene,c1ccc2c(c1)ccc3c2cccc3,-5.263999999999999
molid130,"(E)-1,2-dichloroethylene",C(=C/Cl)\Cl,1.024
molid134,2-isobutylpyrazine,CC(C)Cc1cnccn1,-5.495
molid151,1-isopropyl-4-methyl-benzene,Cc1ccc(cc1)C(C)C,-0.456
molid159,diethyl butanedioate,CCOC(=O)CCC(=O)OCC,-8.683
molid166,butanal,CCCC=O,-3.0439999999999996
molid172,cyanuric acid,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-21.761999999999997
molid184,"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-1.147
molid187,N-methylaniline,CNc1ccccc1,-5.718999999999999
molid188,isopropyl acetate,CC(C)OC(=O)C,-3.3710000000000004
molid197,ethoxyethane,CCOCC,-0.617
molid210,4-ethylphenol,CCc1ccc(cc1)O,-5.452999999999999
molid214,butyric acid,CCCC(=O)O,-9.434
molid217,bromo-trifluoro-methane,C(F)(F)(F)Br,1.564
molid250,butan-1-amine,CCCCN,-2.9610000000000003
molid251,ethyl butanoate,CCCC(=O)OCC,-3.3810000000000002
molid269,cyclohexane,C1CCCCC1,1.5030000000000001
molid282,prop-1-yne,CC#C,0.065
molid287,methane,C,2.4459999999999997
molid302,2-methylbut-2-ene,CC=C(C)C,2.272
molid303,"1,2-dichloroethane",C(CCl)Cl,-0.363
molid331,ethane,CC,2.465
molid332,"1,2-dimethoxybenzene",COc1ccccc1OC,-4.055
molid354,bromomethane,CBr,0.46
molid358,2-nitroaniline,c1ccc(c(c1)N)[N+](=O)[O-],-7.66
molid363,"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-18.095
molid368,1-bromobutane,CCCCBr,0.705
molid374,1-ethyl-4-methyl-benzene,CCc1ccc(cc1)C,-0.575
molid384,1-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3cccc(c3O2)Cl,-4.473
molid389,m-bis(trifluoromethyl)benzene,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,-0.34
molid399,4-fluorophenol,c1cc(ccc1O)F,-4.955
molid401,"1,2,4-trimethylbenzene",Cc1ccc(c(c1)C)C,-0.795
molid403,"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.344
molid406,methylparathion,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-10.466
molid407,diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-9.211
molid425,3-methylpentane,CCC(C)CC,2.613
molid426,2-methylpyrazine,Cc1cnccn1,-6.1610000000000005
molid442,fenuron,CN(C)C(=O)Nc1ccccc1,-11.81
molid447,hexane,CCCCCC,2.8510000000000004
molid480,"1-amino-9,10-anthracenedione",c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-12.214
molid483,diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSCC,-6.4270000000000005
molid491,1-nitropentane,CCCCC[N+](=O)[O-],-1.325
molid513,3-phenylpropan-1-ol,c1ccc(cc1)CCCO,-5.771
molid527,methanethiol,CS,-0.273
molid551,"1,1,1,2-tetrachloroethane",C(C(Cl)(Cl)Cl)Cl,-0.091
molid553,cyclopentane,C1CCCC1,1.6480000000000001
molid559,4-methyl-1H-imidazole,Cc1c[nH]cn1,-8.205
molid564,methyl hexanoate,CCCCCC(=O)OC,-3.299
molid597,1-methyl-2-nitro-benzene,Cc1ccccc1[N+](=O)[O-],-3.133
molid613,"1,2-dinitroxyethane",C(CO[N+](=O)[O-])O[N+](=O)[O-],-6.227
