id,iupac,smiles,expt
molid4,2-ethylpyrazine,CCc1cnccn1,-5.45
molid21,2-acetoxyethyl acetate,CC(=O)OCCOC(=O)C,-6.34
molid48,azetidine,C1CNC1,-5.56
molid73,2-(nitrooxy)ethan-1-ol,C(CO[N+](=O)[O-])O,-8.18
molid82,1-bromooctane,CCCCCCCCBr,0.52
molid84,5-bromouracil,c1c(c(=O)[nH]c(=O)[nH]1)Br,-18.17
molid95,nitromethane,C[N+](=O)[O-],-4.02
molid110,trimethoxymethylbenzene,COC(c1ccccc1)(OC)OC,-4.04
molid117,1-methoxypropane,CCCOC,-1.66
molid119,3-hydroxybenzonitrile,c1cc(cc(c1)O)C#N,-9.65
molid123,N-methylmethanamine,CNC,-4.29
molid127,phenanthrene,c1ccc2c(c1)ccc3c2cccc3,-3.88
molid130,"(E)-1,2-dichloroethylene",C(=C/Cl)\Cl,-0.78
molid134,2-isobutylpyrazine,CC(C)Cc1cnccn1,-5.04
molid151,1-isopropyl-4-methyl-benzene,Cc1ccc(cc1)C(C)C,-0.68
molid159,diethyl butanedioate,CCOC(=O)CCC(=O)OCC,-5.71
molid166,butanal,CCCC=O,-3.18
molid172,cyanuric acid,c1(=O)[nH]c(=O)[nH]c(=O)[nH]1,-18.06
molid184,"1,2,3,4,6,7,8,9-octachlorodibenzo-p-dioxin",c12c(c(c(c(c1Cl)Cl)Cl)Cl)Oc3c(c(c(c(c3Cl)Cl)Cl)Cl)O2,-4.53
molid187,N-methylaniline,CNc1ccccc1,-4.69
molid188,isopropyl acetate,CC(C)OC(=O)C,-2.64
molid197,ethoxyethane,CCOCC,-1.59
molid210,4-ethylphenol,CCc1ccc(cc1)O,-6.13
molid214,butyric acid,CCCC(=O)O,-6.35
molid217,bromo-trifluoro-methane,C(F)(F)(F)Br,1.79
molid250,butan-1-amine,CCCCN,-4.24
molid251,ethyl butanoate,CCCC(=O)OCC,-2.49
molid269,cyclohexane,C1CCCCC1,1.23
molid282,prop-1-yne,CC#C,-0.48
molid287,methane,C,2.0
molid302,2-methylbut-2-ene,CC=C(C)C,1.31
molid303,"1,2-dichloroethane",C(CCl)Cl,-1.79
molid331,ethane,CC,1.83
molid332,"1,2-dimethoxybenzene",COc1ccccc1OC,-5.33
molid354,bromomethane,CBr,-0.82
molid358,2-nitroaniline,c1ccc(c(c1)N)[N+](=O)[O-],-7.37
molid363,"(2R,3R,4S,5S,6R)-6-(hydroxymethyl)tetrahydropyran-2,3,4,5-tetrol",C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O)O)O)O)O,-25.47
molid368,1-bromobutane,CCCCBr,-0.4
molid374,1-ethyl-4-methyl-benzene,CCc1ccc(cc1)C,-0.95
molid384,1-chlorodibenzo-p-dioxin,c1ccc2c(c1)Oc3cccc(c3O2)Cl,-3.52
molid389,m-bis(trifluoromethyl)benzene,c1cc(cc(c1)C(F)(F)F)C(F)(F)F,1.07
molid399,4-fluorophenol,c1cc(ccc1O)F,-6.19
molid401,"1,2,4-trimethylbenzene",Cc1ccc(c(c1)C)C,-0.86
molid403,"(2R,5R)-2-methyl-5-(1-methylethenyl)-cyclohexanone",C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.75
molid406,methylparathion,COP(=S)(OC)Oc1ccc(cc1)[N+](=O)[O-],-7.19
molid407,diethoxy-(4-nitrophenoxy)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)Oc1ccc(cc1)[N+](=O)[O-],-6.74
molid425,3-methylpentane,CCC(C)CC,2.51
molid426,2-methylpyrazine,Cc1cnccn1,-5.51
molid442,fenuron,CN(C)C(=O)Nc1ccccc1,-9.13
molid447,hexane,CCCCCC,2.48
molid480,"1-amino-9,10-anthracenedione",c1ccc2c(c1)C(=O)c3cccc(c3C2=O)N,-9.44
molid483,diethoxy-(ethylsulfanylmethylsulfanyl)-thioxo-$l^{5}-phosphane,CCOP(=S)(OCC)SCSCC,-4.37
molid491,1-nitropentane,CCCCC[N+](=O)[O-],-2.82
molid513,3-phenylpropan-1-ol,c1ccc(cc1)CCCO,-6.92
molid527,methanethiol,CS,-1.2
molid551,"1,1,1,2-tetrachloroethane",C(C(Cl)(Cl)Cl)Cl,-1.43
molid553,cyclopentane,C1CCCC1,1.2
molid559,4-methyl-1H-imidazole,Cc1c[nH]cn1,-10.27
molid564,methyl hexanoate,CCCCCC(=O)OC,-2.49
molid597,1-methyl-2-nitro-benzene,Cc1ccccc1[N+](=O)[O-],-3.58
molid613,"1,2-dinitroxyethane",C(CO[N+](=O)[O-])O[N+](=O)[O-],-5.73
