compound,smiles,flashPoint,id
ACETOXYETHYLTRIETHOXYSILANE,C(C)(=O)OCC[Si](OCC)(OCC)OCC,99,molid5
3-ACETOXYPROPYLTRIMETHOXYSILANE,C(C)(=O)OCCC[Si](OC)(OC)OC,93,molid15
(3-ACRYLOXYPROPYL)METHYLDICHLOROSILANE,C(C=C)(=O)OCCC[Si](Cl)(Cl)C,100,molid32
(3-ACRYLOXYPROPYL)TRICHLOROSILANE,C(C=C)(=O)OCCC[Si](Cl)(Cl)Cl,110,molid34
(3-ACRYLOXYPROPYL)TRIMETHOXYSILANE,C(C=C)(=O)OCCC[Si](OC)(OC)OC,123,molid35
ACRYLOXYTRIISOPROPYLSILANE,C(C=C)(=O)O[Si](C(C)C)(C(C)C)C(C)C,65,molid37
ALLYLDIMETHYLSILANE,C(C=C)[SiH](C)C,20,molid48
ALLYLOXY-t-BUTYLDIMETHYLSILANE,C(C=C)O[Si](C)(C)C(C)(C)C,32,molid51
ALLYLTRICHLOROSILANE,C(C=C)[Si](Cl)(Cl)Cl,31,molid56
N-(2-AMINOETHYL)-3-AMINOPROPYLMETHYLDIMETHOXYSILANE,NCCNCCC[Si](OC)(OC)C,90,molid67
3-AMINOPROPYLDIMETHYLFLUOROSILANE,NCCC[Si](F)(C)C,-1,molid82
3-AMINOPROPYLMETHYLBIS(TRIMETHYLSILOXY)SILANE,NCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,110,molid84
3-AMINOPROPYLPENTAMETHYLDISILOXANE,NCCC[Si](O[Si](C)(C)C)(C)C,65,molid86
DIPHENYLDICHLOROGERMANE,C1(=CC=CC=C1)[Ge](Cl)(Cl)C1=CC=CC=C1,160,molid123
ETHYLTRICHLOROGERMANE,C(C)[Ge](Cl)(Cl)Cl,51,molid126
GERMANIUM TETRAIODIDE,[Ge](I)(I)(I)I,110,molid136
METHYLTRICHLOROGERMANE,C[Ge](Cl)(Cl)Cl,10,molid145
PHENYLDIMETHYLCHLOROGERMANE,C1(=CC=CC=C1)[Ge](Cl)(C)C,65,molid147
TETRAMETHOXYGERMANE,CO[Ge](OC)(OC)OC,34,molid158
TETRAPHENYLGERMANE,C1(=CC=CC=C1)[Ge](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,200,molid160
TRI-n-BUTYLGERMANE,C(CCC)[GeH](CCCC)CCCC,78,molid162
TRIMETHYLIODOGERMANE,C[Ge](I)(C)C,20,molid172
ANTIMONY(III) ETHOXIDE,[O-]CC.[Sb+3].[O-]CC.[O-]CC,-1,molid188
ARSENIC TRIETHOXIDE,[O-]CC.[O-]CC.[O-]CC.[As+3],49,molid189
BORON n-PROPOXIDE,[O-]CCC.[B+3].[O-]CCC.[O-]CCC,20,molid200
CERIUM(IV) t-BUTOXIDE,CC(C)(C)[O-].[Ce+4].CC(C)(C)[O-].CC(C)(C)[O-].CC(C)(C)[O-],0,molid204
LITHIUM ISOPROPOXIDE,CC([O-])C.[Li+],20,molid224
LITHIUM METHOXIDE,C[O-].[Li+],11,molid225
MAGNESIUM METHYL CARBONATE,C(OC)([O-])=O.[Mg+2].COC([O-])=O,58,molid229
NEODYMIUM METHOXYETHOXIDE,COC([O-])C.[Nd+3].COC([O-])C.COC([O-])C,39,molid232
NICKEL DIMETHYLDITHIOCARBAMATE,CN(C([S-])=S)C.[Ni+2].CN(C([S-])=S)C,200,molid234
SELENIUM DIMETHYLDITHIOCARBAMATE,CN(C([S-])=S)C.[Se+2].CN(C([S-])=S)C,-1,molid241
SILVER DIETHYLDITHIOCARBAMATE,C(C)N(C([S-])=S)CC.[Ag+],20,molid242
SODIUM ISOPROPOXIDE,CC([O-])C.[Na+],14,molid250
SODIUM METHYLACETOACETATE,COC(CC(=O)C)=O.[Na],20,molid253
TITANIUM DIETHYLDITHIOCARBAMATE,C(C)N(C([S-])=S)CC.[Ti+4].C(C)N(C([S-])=S)CC.C(C)N(C([S-])=S)CC.C(C)N(C([S-])=S)CC,110,molid268
YTTRIUM METHOXYETHOXIDE,COC([O-])C.[Y+3].COC([O-])C.COC([O-])C,39,molid287
ZINC 8-HYDROXYQUINOLINATE,OC=1C=CC=C2C=CC(=NC12)C(=O)[O-].[Zn+2].OC=1C=CC=C2C=CC(=NC12)C(=O)[O-],0,molid291
ZIRCONIUM ETHOXIDE,[O-]CC.[Zr+4].[O-]CC.[O-]CC.[O-]CC,5,molid295
CERIUM(III) ACETATE,C(C)(=O)[O-].[Ce+3].C(C)(=O)[O-].C(C)(=O)[O-],20,molid325
IRON(III) METHACRYLATE,C(C(=C)C)(=O)[O-].[Fe+3].C(C(=C)C)(=O)[O-].C(C(=C)C)(=O)[O-],20,molid343
POTASSIUM METHACRYLATE,C(C(=C)C)(=O)[O-].[K+],1,molid367
SODIUM ACETATE,C(C)(=O)[O-].[Na+],20,molid378
SODIUM ALLYLSULFONATE,C(C=C)S(=O)(=O)[O-].[Na+],20,molid380
ZINC UNDECYLENATE,C(CCCCCCCCC=C)(=O)[O-].[Zn+2].C(CCCCCCCCC=C)(=O)[O-],20,molid408
ZIRCONIUM METHACRYLATE,C(C(=C)C)(=O)[O-].[Zr+4].C(C(=C)C)(=O)[O-].C(C(=C)C)(=O)[O-].C(C(=C)C)(=O)[O-],110,molid410
ALUMINUM YTTRIUM,[Y].[Al],35,molid411
TRIS(PENTAFLUOROPHENYL)BORON,FC1=C(C(=C(C(=C1B(C1=C(C(=C(C(=C1F)F)F)F)F)C1=C(C(=C(C(=C1F)F)F)F)F)F)F)F)F,20,molid434
TETRABUTYLPHOSPHONIUM CHLORIDE,[Cl-].C(CCC)[P+](CCCC)(CCCC)CCCC,450,molid461
TRI-n-BUTYLTETRADECYLPHOSPHONIUM CHLORIDE,[Cl-].C(CCC)[P+](CCCCCCCCCCCCCC)(CCCC)CCCC,20,molid463
DIETHYLRUTHENOCENE,C(C)[C-]1C=CC=C1.[C-]1(C=CC=C1)CC.[Ru+2],110,molid471
BIS(CYCLOPENTADIENYL)TITANIUM(III) CHLORIDE,[Cl-].C1(C=CC=C1)[Ti+]C1C=CC=C1,110,molid474
METHYLTITANIUM TRIISOPROPOXIDE,CC([O-])C.CC([O-])C.CC([O-])C.C[Ti+3],14,molid477
TITANIUM TETRAKIS(DIMETHYLAMIDE),C[N-]C.C[N-]C.C[N-]C.C[N-]C.[Ti+4],-1,molid480
