compound,smiles,flashPoint,id
(3-ACETAMIDOPROPYL)TRIMETHOXYSILANE,C(C)(=O)NCCC[Si](OC)(OC)OC,65,molid1
ACETOXYETHYLDIMETHYLCHLOROSILANE,C(C)(=O)OCC[Si](Cl)(C)C,63,molid2
ACETOXYETHYLMETHYLDICHLOROSILANE,C(C)(=O)OCC[Si](Cl)(Cl)C,65,molid3
ACETOXYETHYLTRICHLOROSILANE,C(C)(=O)OCC[Si](Cl)(Cl)Cl,82,molid4
ACETOXYETHYLTRIMETHOXYSILANE,C(C)(=O)OCC[Si](OC)(OC)OC,60,molid6
ACETOXYETHYLTRIS(DIMETHYLAMINO)SILANE,C(C)(=O)OCC[Si](N(C)C)(N(C)C)N(C)C,40,molid7
ACETOXYHEPTAMETHYLCYCLOTETRASILOXANE,C(C)(=O)O[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,65,molid8
ACETOXYMETHYLTRIETHOXYSILANE,C(C)(=O)OC[Si](OCC)(OCC)OCC,60,molid9
ACETOXYMETHYLTRIMETHYLSILANE,C(C)(=O)OC[Si](C)(C)C,20,molid10
4-ACETOXYPHENETHYLTRICHLOROSILANE,C(C)(=O)OC1=CC=C(CC[Si](Cl)(Cl)Cl)C=C1,110,molid11
3-(3-ACETOXYPROPYL)HEPTAMETHYLTRISILOXANE,C(C)(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,65,molid12
3-ACETOXYPROPYLMETHYLDICHLOROSILANE,C(C)(=O)OCCC[Si](Cl)(Cl)C,85,molid13
3-ACETOXYPROPYLMETHYLDIMETHOXYSILANE,C(C)(=O)OCCC[Si](OC)(OC)C,-1,molid14
ACETOXYTRIMETHYLSILANE,C(C)(=O)O[Si](C)(C)C,4,molid16
11-ACETOXYUNDECYLTRICHLOROSILANE,C(C)(=O)OCCCCCCCCCCC[Si](Cl)(Cl)Cl,-1,molid17
11-ACETOXYUNDECYLTRIETHOXYSILANE,C(C)(=O)OCCCCCCCCCCC[Si](OCC)(OCC)OCC,150,molid18
N-(ACETYLGLYCYL)-3-AMINOPROPYLTRIMETHOXYSILANE,C(C)(=O)NCC(=O)NCCC[Si](OC)(OC)OC,11,molid19
3-(N-ACETYL-4-HYDROXYPROLYLOXY)PROPYLTRIETHOXYSILANE,C(C)(=O)N1[C@@H](CC(C1)O)C(=O)OCCC[Si](OCC)(OCC)OCC,15,molid20
N-(N-ACETYLLEUCYL)-3-AMINOPROPYLTRIETHOXYSILANE,C(C)(=O)N[C@@H](CC(C)C)C(=O)NCCC[Si](OCC)(OCC)OCC,15,molid21
ACETYLTRIMETHYLSILANE,C(C)(=O)[Si](C)(C)C,8,molid22
3-ACRYLAMIDOPROPYLTRIMETHOXYSILANE,C(C=C)(=O)NCCC[Si](OC)(OC)OC,110,molid23
3-ACRYLAMIDOPROPYLTRIS(TRIMETHYLSILOXY)SILANE,C(C=C)(=O)NCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,110,molid24
(2-ACRYLOXYETHOXY)TRIMETHYLSILANE,C(C=C)(=O)OCCO[Si](C)(C)C,65,molid25
N-(3-ACRYLOXY-2-HYDROXYPROPYL)-3-AMINOPROPYLTRIETHOXYSILANE,C(C=C)(=O)OCC(CNCCC[Si](OCC)(OCC)OCC)O,15,molid26
ACRYLOXYMETHYLTRIMETHOXYSILANE,C(C=C)(=O)OC[Si](OC)(OC)OC,62,molid27
(ACRYLOXYMETHYL)PHENETHYLTRIMETHOXYSILANE,C(C=C)(=O)OCCO[Si](OC)(OC)CCC1=CC=CC=C1,20,molid28
ACRYLOXYMETHYLTRIMETHYLSILANE,C(C=C)(=O)OC[Si](C)(C)C,20,molid29
(3-ACRYLOXYPROPYL)DIMETHYLMETHOXYSILANE,C(C=C)(=O)OCCC[Si](OC)(C)C,85,molid30
(3-ACRYLOXYPROPYL)METHYLBIS(TRIMETHYLSILOXY)SILANE,C(C=C)(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,110,molid31
(3-ACRYLOXYPROPYL)METHYLDIETHOXYSILANE,C(C=C)(=O)OCCC[Si](OCC)(OCC)C,110,molid33
(3-ACRYLOXYPROPYL)TRIS(TRIMETHYLSILOXY)SILANE,C(C=C)(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,93,molid36
ACRYLOXYTRIMETHYLSILANE,C(C=C)(=O)O[Si](C)(C)C,26,molid38
ADAMANTYLETHYLTRICHLOROSILANE,C12(CC3CC(CC(C1)C3)C2)CC[Si](Cl)(Cl)Cl,155,molid39
3-(N-ALLYLAMINO)PROPYLTRIMETHOXYSILANE,C(C=C)NCCC[Si](OC)(OC)OC,88,molid40
ALLYLAMINOTRIMETHYLSILANE,C(C=C)N[Si](C)(C)C,10,molid41
