id,compound,smiles,flashPoint
molid5,ACETOXYETHYLTRIETHOXYSILANE,C(C)(=O)OCC[Si](OCC)(OCC)OCC,99
molid15,3-ACETOXYPROPYLTRIMETHOXYSILANE,C(C)(=O)OCCC[Si](OC)(OC)OC,93
molid32,(3-ACRYLOXYPROPYL)METHYLDICHLOROSILANE,C(C=C)(=O)OCCC[Si](Cl)(Cl)C,100
molid34,(3-ACRYLOXYPROPYL)TRICHLOROSILANE,C(C=C)(=O)OCCC[Si](Cl)(Cl)Cl,110
molid35,(3-ACRYLOXYPROPYL)TRIMETHOXYSILANE,C(C=C)(=O)OCCC[Si](OC)(OC)OC,123
molid37,ACRYLOXYTRIISOPROPYLSILANE,C(C=C)(=O)O[Si](C(C)C)(C(C)C)C(C)C,65
molid48,ALLYLDIMETHYLSILANE,C(C=C)[SiH](C)C,20
molid51,ALLYLOXY-t-BUTYLDIMETHYLSILANE,C(C=C)O[Si](C)(C)C(C)(C)C,32
molid56,ALLYLTRICHLOROSILANE,C(C=C)[Si](Cl)(Cl)Cl,31
molid67,N-(2-AMINOETHYL)-3-AMINOPROPYLMETHYLDIMETHOXYSILANE,NCCNCCC[Si](OC)(OC)C,90
molid82,3-AMINOPROPYLDIMETHYLFLUOROSILANE,NCCC[Si](F)(C)C,-1
molid84,3-AMINOPROPYLMETHYLBIS(TRIMETHYLSILOXY)SILANE,NCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,110
molid86,3-AMINOPROPYLPENTAMETHYLDISILOXANE,NCCC[Si](O[Si](C)(C)C)(C)C,65
molid123,DIPHENYLDICHLOROGERMANE,C1(=CC=CC=C1)[Ge](Cl)(Cl)C1=CC=CC=C1,160
molid126,ETHYLTRICHLOROGERMANE,C(C)[Ge](Cl)(Cl)Cl,51
molid136,GERMANIUM TETRAIODIDE,[Ge](I)(I)(I)I,110
molid145,METHYLTRICHLOROGERMANE,C[Ge](Cl)(Cl)Cl,10
molid147,PHENYLDIMETHYLCHLOROGERMANE,C1(=CC=CC=C1)[Ge](Cl)(C)C,65
molid158,TETRAMETHOXYGERMANE,CO[Ge](OC)(OC)OC,34
molid160,TETRAPHENYLGERMANE,C1(=CC=CC=C1)[Ge](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,200
molid162,TRI-n-BUTYLGERMANE,C(CCC)[GeH](CCCC)CCCC,78
molid172,TRIMETHYLIODOGERMANE,C[Ge](I)(C)C,20
molid188,ANTIMONY(III) ETHOXIDE,[O-]CC.[Sb+3].[O-]CC.[O-]CC,-1
molid189,ARSENIC TRIETHOXIDE,[O-]CC.[O-]CC.[O-]CC.[As+3],49
molid200,BORON n-PROPOXIDE,[O-]CCC.[B+3].[O-]CCC.[O-]CCC,20
