No.,Compounds Name,Observed,Predicted,Status,nF,RDCHI,MATS1m,Mor02p,RTv
1,Trichlorosilane,245,259.87 ,Training,0,1.225,0.995,5.542,2.201
2,Dichlorosilane,236,236.75 ,Training,0,1.155,0.968,4.916,1.414
3,Methyltrichlorosilane,276,280.43 ,Training,0,1.265,0.991,7.817,3.625
4,Methyldichlorosilane,241,258.21 ,Training,0,1.225,0.963,7.407,2.743
5,Dichloromethylmethyldichlorosilane,301,318.03 ,Training,0,1.509,0.998,9.327,5.304
6,Ethyltrichlorosilane,295,298.85 ,Training,0,1.43,0.982,9.191,4.479
7,Dimethyldichlorosilane,257,271.03 ,Training,0,1.265,0.955,9.47,3.601
8,Dimethylchlorosilane,245,243.49 ,Training,0,1.225,0.907,9.216,2.85
9,"1,1,1-Trifluoropropyltrichlorosilane",288,288.95 ,Training,3,1.902,1,9.195,4.989
10,Allyltrichlorosilane,304,310.93 ,Training,0,1.604,0.983,8.936,4.663
11,Methylvinyldichlorosilane,272,292.61 ,Training,0,1.577,0.953,9.173,4.02
12,3-Chloropropyltrichlorosilane,357,332.47 ,Training,0,1.774,0.99,9.681,5.377
13,Bromomethyldimethylchlorosilane,314,294.52 ,Training,0,1.43,0.964,10.163,4.474
14,Chloromethyldimethylchlorosilane,295,285.47 ,Training,0,1.43,0.943,10.904,4.163
15,Trimethylbromosilane,270,271.03 ,Training,0,1.265,0.94,10.721,3.855
16,Trimethylchlorosilane,255,254.97 ,Training,0,1.265,0.902,11.112,3.512
17,Trimethoxysilane,264,271.45 ,Training,0,1.698,0.889,6.979,3.886
18,Trimethylsilane,204,216.63 ,Training,0,1.225,0.818,11.003,2.903
19,Cyanoethylmethyldichlorosilane,333,322.84 ,Training,0,1.774,0.961,10.609,5.241
20,Allylmethyldichlorosilane,300,299.10 ,Training,0,1.604,0.95,10.336,4.357
21,3-Chloropropylmethyldichlorosilane,359,321.03 ,Training,0,1.774,0.962,11.071,4.942
22,t-Butyltrichlorosilane,294,318.08 ,Training,0,1.549,0.964,12.039,5.68
23,Isobutyltrichlorosilane,310,320.64 ,Training,0,1.689,0.964,9.97,5.541
24,n-Butyltrichlorosilane,327,322.51 ,Training,0,1.774,0.964,10.876,5.056
25,n-Propylmethyldichlorosilane,300,296.91 ,Training,0,1.604,0.937,11.038,4.443
26,Bromomethyltrimethylsilane,289,280.26 ,Training,0,1.43,0.925,11.56,4.136
27,Ethyldimethylchlorosilane,269,271.21 ,Training,0,1.43,0.897,12.052,4.109
28,"1,3-Dichlorotetramethyldisiloxane",288,299.89 ,Training,0,1.733,0.925,7.44,5.113
29,Dimethyldimethoxysilane,265,264.06 ,Training,0,1.575,0.872,10.448,3.756
30,Methyltrimethoxysilane,284,275.27 ,Training,0,1.703,0.887,8.039,4.079
31,Tetramethoxysilane,294,285.56 ,Training,0,1.816,0.899,6.665,4.293
32,Tetramethylsilane,245,229.40 ,Training,0,1.265,0.827,12.759,3.248
