compound,flashPoint,Predicted,Status,nF,RDCHI,MATS1m,Mor02p,RTv,smiles,id
Methyldichlorosilane,-32.149999999999984,-14.939999999999998,Training,0,1.225,0.963,7.407,2.7430000000000003,C[SiH](Cl)Cl,molid4
3-Chloropropylmethyldichlorosilane,85.85000000000002,47.88,Training,0,1.774,0.9620000000000001,11.071,4.942,ClCCC[Si](Cl)(Cl)C,molid21
Bis(dimethylamino)methylsilane,-3.1499999999999773,0.3100000000000023,Training,0,1.7,0.848,10.025,4.835,CN(C)C(N(C)C)[SiH3],molid48
Bis(dimethylamino)dimethylsilane,-7.149999999999977,8.100000000000023,Training,0,1.7169999999999999,0.851,10.415,5.306,CN(C)[Si](C)(C)N(C)C,molid73
Cyclohexylmethyldichlorosilane,81.85000000000002,75.96000000000005,Training,0,2.072,0.9279999999999999,12.895,6.712999999999999,C1(CCCCC1)C[SiH](Cl)Cl,molid82
2-Chloromethyl-3-trimethylsilyl-1-propene,42.85000000000002,37.160000000000025,Training,0,1.8330000000000002,0.894,12.647,5.545,ClCC(=C)C[Si](C)(C)C,molid84
Bis(trimethylsilyl)methane,11.850000000000026,11.280000000000026,Training,0,1.733,0.833,12.852,5.638,C[Si](C)(C)C[Si](C)(C)C,molid95
"1,3-Divinyltetramethyldisilazane",33.850000000000016,37.26000000000005,Training,0,1.9780000000000002,0.86,11.142000000000001,6.1679999999999975,C(=C)[Si](N[Si](C=C)(C)C)(C)C,molid110
Octamethylcyclotetrasilazane,65.85000000000002,52.69,Training,0,2.3680000000000003,0.856,-2.053,8.19,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,molid117
p-Chlorophenyltrimethylsilane,48.850000000000016,71.21000000000005,Training,0,2.149,0.9159999999999999,14.212,5.959,ClC1=CC=C(C=C1)[Si](C)(C)C,molid119
2-Cyanoethyltriethoxysilane,85.85000000000002,73.89000000000004,Training,0,2.4459999999999997,0.8959999999999999,8.429,6.348,C(#N)CC[Si](OCC)(OCC)OCC,molid123
Hexyltrimethoxysilane,61.850000000000016,68.08000000000004,Training,0,2.3930000000000002,0.875,16.313,5.226,C(CCCCC)[Si](OC)(OC)OC,molid127
(Diisopropylamino)trimethylsilane,27.850000000000023,28.150000000000034,Training,0,1.9180000000000001,0.845,9.812000000000001,6.405,C(C)(C)N(C(C)C)[Si](C)(C)C,molid130
3-Methacryloxypropyltrimethoxysilane,91.85000000000002,96.15000000000003,Training,0,2.66,0.905,16.037,5.445,C(C(=C)C)(=O)OCCC[Si](OC)(OC)OC,molid134
Diphenyldimethoxysilane,120.85000000000002,126.26000000000003,Training,0,2.813,0.917,14.28,7.407999999999999,C1(=CC=CC=C1)[Si](OC)(OC)C1=CC=CC=C1,molid151
Trimethylfluorosilane,-35.149999999999984,-50.579999999999984,Test,1,1.265,0.873,10.786,3.0269999999999997,C[Si](F)(C)C,molid159
Vinyltrimethoxysilane,22.850000000000023,17.450000000000045,Test,0,1.8159999999999998,0.8959999999999999,8.296,4.552,C(=C)[Si](OC)(OC)OC,molid166
Allyltrimethoxysilane,45.850000000000016,27.780000000000033,Test,0,1.955,0.892,8.292,4.886,C(C=C)[Si](OC)(OC)OC,molid172
Diethyldiethoxysilane,42.85000000000002,37.960000000000036,Test,0,2.084,0.866,9.238999999999999,5.81,C(C)[Si](OCC)(OCC)CC,molid184
Tris(trimethylsiloxy)boron,41.85000000000002,74.80000000000003,Test,0,2.4459999999999997,0.866,8.56,7.415,C[Si](OB(O[Si](C)(C)C)O[Si](C)(C)C)(C)C,molid187
1-Heptynyltrimethylsilane,41.85000000000002,59.31,Test,0,2.25,0.8590000000000001,20.274,4.947,C(#CCCCCC)[Si](C)(C)C,molid188
