compound,flashPoint,Predicted,Status,nF,RDCHI,MATS1m,Mor02p,RTv,smiles,id
Trichlorosilane,-28.149999999999977,-13.279999999999974,Training,0,1.225,0.995,5.5420000000000025,2.201,Cl[SiH](Cl)Cl,molid1
Dichlorosilane,-37.14999999999998,-36.39999999999998,Training,0,1.155,0.968,4.916,1.4140000000000001,Cl[SiH2]Cl,molid2
Methyltrichlorosilane,2.8500000000000227,7.28000000000003,Training,0,1.265,0.991,7.817,3.625,C[Si](Cl)(Cl)Cl,molid3
Dichloromethylmethyldichlorosilane,27.850000000000023,44.88,Training,0,1.5090000000000001,0.998,9.327,5.303999999999999,ClC(Cl)[Si](Cl)(Cl)C,molid5
Ethyltrichlorosilane,21.850000000000023,25.700000000000053,Training,0,1.43,0.982,9.191,4.479,C(C)[Si](Cl)(Cl)Cl,molid6
Dimethyldichlorosilane,-16.149999999999974,-2.1200000000000045,Training,0,1.265,0.955,9.47,3.6010000000000004,C[Si](Cl)(Cl)C,molid7
Dimethylchlorosilane,-28.149999999999977,-29.659999999999968,Training,0,1.225,0.907,9.216000000000001,2.85,C[SiH](Cl)C,molid8
"1,1,1-Trifluoropropyltrichlorosilane",14.850000000000026,15.800000000000011,Training,3,1.902,1.0,9.195,4.989,FC(C(C)[Si](Cl)(Cl)Cl)(F)F,molid9
Allyltrichlorosilane,30.850000000000023,37.78000000000004,Training,0,1.604,0.983,8.936,4.663,C(C=C)[Si](Cl)(Cl)Cl,molid10
Methylvinyldichlorosilane,-1.1499999999999773,19.460000000000036,Training,0,1.577,0.953,9.173,4.02,CC=C[SiH](Cl)Cl,molid11
3-Chloropropyltrichlorosilane,83.85000000000002,59.32000000000005,Training,0,1.774,0.99,9.681000000000001,5.3770000000000024,ClCCC[Si](Cl)(Cl)Cl,molid12
Bromomethyldimethylchlorosilane,40.85000000000002,21.370000000000005,Training,0,1.43,0.9640000000000001,10.163,4.474,BrC[Si](Cl)(C)C,molid13
Chloromethyldimethylchlorosilane,21.850000000000023,12.32000000000005,Training,0,1.43,0.943,10.904000000000002,4.163,ClC[Si](Cl)(C)C,molid14
Trimethylbromosilane,-3.1499999999999773,-2.1200000000000045,Training,0,1.265,0.94,10.720999999999998,3.855,C[Si](Br)(C)C,molid15
Trimethylchlorosilane,-18.149999999999977,-18.179999999999982,Training,0,1.265,0.902,11.112,3.512,C[Si](Cl)(C)C,molid16
Trimethoxysilane,-9.149999999999975,-1.6999999999999886,Training,0,1.6980000000000002,0.889,6.979,3.886,CO[SiH](OC)OC,molid17
Trimethylsilane,-69.14999999999998,-56.51999999999998,Training,0,1.225,0.818,11.003,2.903,C[SiH](C)C,molid18
Cyanoethylmethyldichlorosilane,59.850000000000016,49.69,Training,0,1.774,0.961,10.609000000000002,5.2410000000000005,C(#N)CC[Si](Cl)(Cl)C,molid19
Allylmethyldichlorosilane,26.850000000000023,25.950000000000053,Training,0,1.604,0.95,10.335999999999999,4.357,C(C=C)C[SiH](Cl)Cl,molid20
t-Butyltrichlorosilane,20.850000000000023,44.93000000000001,Training,0,1.5490000000000002,0.9640000000000001,12.039000000000001,5.68,C(C)(C)(C)[Si](Cl)(Cl)Cl,molid22
Isobutyltrichlorosilane,36.85000000000002,47.49000000000001,Training,0,1.689,0.9640000000000001,9.97,5.541,C(C(C)C)[Si](Cl)(Cl)Cl,molid23
n-Butyltrichlorosilane,53.850000000000016,49.36000000000002,Training,0,1.774,0.9640000000000001,10.876,5.056,C(CCC)[Si](Cl)(Cl)Cl,molid24
n-Propylmethyldichlorosilane,26.850000000000023,23.76000000000005,Training,0,1.604,0.937,11.038,4.4430000000000005,C(CC)[Si](Cl)(Cl)C,molid25
Bromomethyltrimethylsilane,15.850000000000026,7.110000000000013,Training,0,1.43,0.925,11.56,4.136,BrC[Si](C)(C)C,molid26
Ethyldimethylchlorosilane,-4.149999999999976,-1.9399999999999973,Training,0,1.43,0.897,12.052,4.109,C(C)[Si](Cl)(C)C,molid27
"1,3-Dichlorotetramethyldisiloxane",14.850000000000026,26.74000000000001,Training,0,1.733,0.925,7.44,5.113,Cl[Si](O[Si](Cl)(C)C)(C)C,molid28
Dimethyldimethoxysilane,-8.149999999999977,-9.089999999999977,Training,0,1.575,0.872,10.448,3.7560000000000002,C[Si](OC)(OC)C,molid29
Methyltrimethoxysilane,10.850000000000025,2.1200000000000045,Training,0,1.703,0.887,8.039,4.079,C[Si](OC)(OC)OC,molid30
Tetramethoxysilane,20.850000000000023,12.410000000000027,Training,0,1.8159999999999998,0.899,6.665,4.293,CO[Si](OC)(OC)OC,molid31
Tetramethylsilane,-28.149999999999977,-43.74999999999997,Training,0,1.265,0.8270000000000001,12.759,3.248,C[Si](C)(C)C,molid32
"(N,N-Dimethylamino)dimethylsilane",-13.149999999999974,-24.329999999999984,Training,0,1.475,0.838,11.039000000000001,3.887,CN(C)[SiH](C)C,molid33
"1,1,3,3-Tetramethyldisiloxane",-22.149999999999977,-15.039999999999964,Training,0,1.6540000000000001,0.843,9.054,3.986,C[SiH](O[SiH](C)C)C,molid34
Tetramethyldisilazane,10.850000000000025,-11.609999999999955,Training,0,1.6540000000000001,0.833,11.558,4.152,CN([Si](C)(C)C)[SiH3],molid35
Cyclopentyltrichlorosilane,76.85000000000002,75.35000000000002,Training,0,1.9509999999999998,0.9670000000000001,11.845999999999998,6.245,C1(CCCC1)[Si](Cl)(Cl)Cl,molid36
Trimethylsilyltrifluoroacetate,-0.14999999999997726,-6.71999999999997,Training,3,1.946,0.943,10.363,4.258,C[Si](C)(C)OC(C(F)(F)F)=O,molid37
Cyclopentyldichlorosilane,42.85000000000002,57.68000000000001,Training,0,1.9269999999999998,0.941,12.123,5.505,C1(CCCC1)[SiH](Cl)Cl,molid38
Allyldimethylchlorosilane,4.850000000000024,14.720000000000026,Training,0,1.604,0.9059999999999999,11.347999999999999,4.553999999999999,C(C=C)[Si](Cl)(C)C,molid39
3-Chloro-2-methylpropylmethyldichlorosilane,89.85000000000002,59.170000000000016,Training,0,1.8330000000000002,0.955,10.388,6.059,ClCC(C[Si](Cl)(Cl)C)C,molid40
n-Butylmethyldichlorosilane,29.850000000000023,39.710000000000036,Training,0,1.774,0.93,12.087,5.029,C(CCC)[Si](Cl)(Cl)C,molid41
Methylvinyldimethoxysilane,3.850000000000023,10.340000000000034,Training,0,1.851,0.882,9.261000000000001,3.948,CC=C[SiH](OC)OC,molid42
Trimethylvinylsilane,-34.149999999999984,-21.399999999999977,Training,0,1.43,0.847,12.504000000000001,3.8310000000000004,CC(=C(C)C)[SiH3],molid43
Diethylmethylchlorosilane,14.850000000000026,16.890000000000047,Training,0,1.575,0.892,12.556,5.1560000000000015,C(C)[Si](Cl)(C)CC,molid44
Chloromethyldimethylethoxysilane,25.850000000000023,20.80000000000001,Training,0,1.7369999999999999,0.9009999999999999,10.78,4.66,ClC[Si](OCC)(C)C,molid45
Ethyltrimethoxysilane,26.850000000000023,13.050000000000011,Training,0,1.8159999999999998,0.884,8.193,4.553,C(C)[Si](OC)(OC)OC,molid46
"(N,N-Dimethylamino)trimethylsilane",-19.149999999999977,-13.549999999999955,Training,0,1.5090000000000001,0.8420000000000001,12.222000000000001,4.357,CN(C)[Si](C)(C)C,molid47
Pentamethyldisiloxane,-19.149999999999977,-4.949999999999988,Training,0,1.689,0.846,9.142999999999999,4.636,C[SiH](O[Si](C)(C)C)C,molid49
Phenyldichlorosilane,59.850000000000016,57.73000000000002,Training,0,2.048,0.968,10.44,4.25,C1(=CC=CC=C1)[SiH](Cl)Cl,molid50
Phenylsilane,7.850000000000023,10.590000000000034,Training,0,1.857,0.888,10.629000000000001,3.464,C1(=CC=CC=C1)[SiH3],molid51
1-Hexenyltrichlorosilane,59.850000000000016,78.83000000000004,Training,0,2.097,0.9590000000000001,14.956,5.396,C(=CCCCC)[Si](Cl)(Cl)Cl,molid52
Bis(chloromethyl)tetramethyldisiloxane,72.85000000000002,50.23000000000002,Training,0,1.9780000000000002,0.914,7.995,6.228,ClC[Si](O[Si](C)(C)C)(C)CCl,molid53
