id,compound,smiles,flashPoint
molid4,Methyldichlorosilane,C[SiH](Cl)Cl,-32.149999999999984
molid21,3-Chloropropylmethyldichlorosilane,ClCCC[Si](Cl)(Cl)C,85.85000000000002
molid48,Bis(dimethylamino)methylsilane,CN(C)C(N(C)C)[SiH3],-3.1499999999999773
molid73,Bis(dimethylamino)dimethylsilane,CN(C)[Si](C)(C)N(C)C,-7.149999999999977
molid82,Cyclohexylmethyldichlorosilane,C1(CCCCC1)C[SiH](Cl)Cl,81.85000000000002
molid84,2-Chloromethyl-3-trimethylsilyl-1-propene,ClCC(=C)C[Si](C)(C)C,42.85000000000002
molid95,Bis(trimethylsilyl)methane,C[Si](C)(C)C[Si](C)(C)C,11.850000000000026
molid110,"1,3-Divinyltetramethyldisilazane",C(=C)[Si](N[Si](C=C)(C)C)(C)C,33.850000000000016
molid117,Octamethylcyclotetrasilazane,C[Si]1(N[Si](N[Si](N[Si](N1)(C)C)(C)C)(C)C)C,65.85000000000002
molid119,p-Chlorophenyltrimethylsilane,ClC1=CC=C(C=C1)[Si](C)(C)C,48.850000000000016
molid123,2-Cyanoethyltriethoxysilane,C(#N)CC[Si](OCC)(OCC)OCC,85.85000000000002
molid127,Hexyltrimethoxysilane,C(CCCCC)[Si](OC)(OC)OC,61.850000000000016
molid130,(Diisopropylamino)trimethylsilane,C(C)(C)N(C(C)C)[Si](C)(C)C,27.850000000000023
molid134,3-Methacryloxypropyltrimethoxysilane,C(C(=C)C)(=O)OCCC[Si](OC)(OC)OC,91.85000000000002
molid151,Diphenyldimethoxysilane,C1(=CC=CC=C1)[Si](OC)(OC)C1=CC=CC=C1,120.85000000000002
molid159,Trimethylfluorosilane,C[Si](F)(C)C,-35.149999999999984
molid166,Vinyltrimethoxysilane,C(=C)[Si](OC)(OC)OC,22.850000000000023
molid172,Allyltrimethoxysilane,C(C=C)[Si](OC)(OC)OC,45.850000000000016
molid184,Diethyldiethoxysilane,C(C)[Si](OCC)(OCC)CC,42.85000000000002
molid187,Tris(trimethylsiloxy)boron,C[Si](OB(O[Si](C)(C)C)O[Si](C)(C)C)(C)C,41.85000000000002
molid188,1-Heptynyltrimethylsilane,C(#CCCCCC)[Si](C)(C)C,41.85000000000002
