id,compound,smiles,flashPoint
molid1,Trichlorosilane,Cl[SiH](Cl)Cl,-28.149999999999977
molid2,Dichlorosilane,Cl[SiH2]Cl,-37.14999999999998
molid3,Methyltrichlorosilane,C[Si](Cl)(Cl)Cl,2.8500000000000227
molid5,Dichloromethylmethyldichlorosilane,ClC(Cl)[Si](Cl)(Cl)C,27.850000000000023
molid6,Ethyltrichlorosilane,C(C)[Si](Cl)(Cl)Cl,21.850000000000023
molid7,Dimethyldichlorosilane,C[Si](Cl)(Cl)C,-16.149999999999974
molid8,Dimethylchlorosilane,C[SiH](Cl)C,-28.149999999999977
molid9,"1,1,1-Trifluoropropyltrichlorosilane",FC(C(C)[Si](Cl)(Cl)Cl)(F)F,14.850000000000026
molid10,Allyltrichlorosilane,C(C=C)[Si](Cl)(Cl)Cl,30.850000000000023
molid11,Methylvinyldichlorosilane,CC=C[SiH](Cl)Cl,-1.1499999999999773
molid12,3-Chloropropyltrichlorosilane,ClCCC[Si](Cl)(Cl)Cl,83.85000000000002
molid13,Bromomethyldimethylchlorosilane,BrC[Si](Cl)(C)C,40.85000000000002
molid14,Chloromethyldimethylchlorosilane,ClC[Si](Cl)(C)C,21.850000000000023
molid15,Trimethylbromosilane,C[Si](Br)(C)C,-3.1499999999999773
molid16,Trimethylchlorosilane,C[Si](Cl)(C)C,-18.149999999999977
molid17,Trimethoxysilane,CO[SiH](OC)OC,-9.149999999999975
molid18,Trimethylsilane,C[SiH](C)C,-69.14999999999998
molid19,Cyanoethylmethyldichlorosilane,C(#N)CC[Si](Cl)(Cl)C,59.850000000000016
molid20,Allylmethyldichlorosilane,C(C=C)C[SiH](Cl)Cl,26.850000000000023
molid22,t-Butyltrichlorosilane,C(C)(C)(C)[Si](Cl)(Cl)Cl,20.850000000000023
molid23,Isobutyltrichlorosilane,C(C(C)C)[Si](Cl)(Cl)Cl,36.85000000000002
molid24,n-Butyltrichlorosilane,C(CCC)[Si](Cl)(Cl)Cl,53.850000000000016
molid25,n-Propylmethyldichlorosilane,C(CC)[Si](Cl)(Cl)C,26.850000000000023
molid26,Bromomethyltrimethylsilane,BrC[Si](C)(C)C,15.850000000000026
molid27,Ethyldimethylchlorosilane,C(C)[Si](Cl)(C)C,-4.149999999999976
molid28,"1,3-Dichlorotetramethyldisiloxane",Cl[Si](O[Si](Cl)(C)C)(C)C,14.850000000000026
molid29,Dimethyldimethoxysilane,C[Si](OC)(OC)C,-8.149999999999977
molid30,Methyltrimethoxysilane,C[Si](OC)(OC)OC,10.850000000000025
molid31,Tetramethoxysilane,CO[Si](OC)(OC)OC,20.850000000000023
molid32,Tetramethylsilane,C[Si](C)(C)C,-28.149999999999977
molid33,"(N,N-Dimethylamino)dimethylsilane",CN(C)[SiH](C)C,-13.149999999999974
molid34,"1,1,3,3-Tetramethyldisiloxane",C[SiH](O[SiH](C)C)C,-22.149999999999977
molid35,Tetramethyldisilazane,CN([Si](C)(C)C)[SiH3],10.850000000000025
molid36,Cyclopentyltrichlorosilane,C1(CCCC1)[Si](Cl)(Cl)Cl,76.85000000000002
molid37,Trimethylsilyltrifluoroacetate,C[Si](C)(C)OC(C(F)(F)F)=O,-0.14999999999997726
molid38,Cyclopentyldichlorosilane,C1(CCCC1)[SiH](Cl)Cl,42.85000000000002
molid39,Allyldimethylchlorosilane,C(C=C)[Si](Cl)(C)C,4.850000000000024
molid40,3-Chloro-2-methylpropylmethyldichlorosilane,ClCC(C[Si](Cl)(Cl)C)C,89.85000000000002
molid41,n-Butylmethyldichlorosilane,C(CCC)[Si](Cl)(Cl)C,29.850000000000023
molid42,Methylvinyldimethoxysilane,CC=C[SiH](OC)OC,3.850000000000023
molid43,Trimethylvinylsilane,CC(=C(C)C)[SiH3],-34.149999999999984
