casNum,compound,flashPoint,id,img,pre_smiles,productCode,sds,smiles
112-88-9,1-Octadecene,154.0,molid144,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEO3210.gif,C=CCCCCCCCCCCCCCCCC,ENEO3210,https://s3.amazonaws.com/gelest/sds/ENEO3210_GHS+US_English+US.pdf,C=CCCCCCCCCCCCCCCCC
14697-86-0,ACETOXYHEPTAMETHYLCYCLOTETRASILOXANE,65.0,molid8,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0038.0.gif,C(C)(=O)O[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,SIA0038.0,https://s3.amazonaws.com/gelest/sds/SIA0038.0_GHS+US_English+US.pdf,C(C)(=O)O[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C
13688-55-6,ACRYLOXYTRIMETHYLSILANE,26.0,molid37,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0320.0.gif,C(C=C)(=O)O[Si](C)(C)C,SIA0320.0,https://s3.amazonaws.com/gelest/sds/SIA0320.0_GHS+US_English+US.pdf,C(C=C)(=O)O[Si](C)(C)C
3069-30-5,4-AMINOBUTYLTRIETHOXYSILANE,109.0,molid62,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0587.0.gif,NCCCC[Si](OCC)(OCC)OCC,SIA0587.0,https://s3.amazonaws.com/gelest/sds/SIA0587.0_GHS+US_English+US.pdf,NCCCC[Si](OCC)(OCC)OCC
51895-58-0,N-(6-AMINOHEXYL)AMINOPROPYLTRIMETHOXYSILANE,110.0,molid73,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0594.0.gif,NCCCCCCNCCC[Si](OC)(OC)OC,SIA0594.0,https://s3.amazonaws.com/gelest/sds/SIA0594.0_GHS+US_English+US.pdf,NCCCCCCNCCC[Si](OC)(OC)OC
18166-02-4,AMINOMETHYLTRIMETHYLSILANE,9.0,molid75,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0596.0.gif,NC[Si](C)(C)C,SIA0596.0,https://s3.amazonaws.com/gelest/sds/SIA0596.0_GHS+US_English+US.pdf,NC[Si](C)(C)C
58160-99-9 / 29159-37-3,3-AMINOPROPYLSILANETRIOL,1.0,molid86,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIA0608.0.gif,NCCC[Si](O)(O)O,SIA0608.0,https://s3.amazonaws.com/gelest/sds/SIA0608.0_GHS+US_English+US.pdf,NCCC[Si](O)(O)O
300-57-2,Allylbenzene,40.0,molid104,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0040.gif,C(C=C)C1=CC=CC=C1,ENEA0040,https://s3.amazonaws.com/gelest/sds/ENEA0040_GHS+US_English+US.pdf,C(C=C)C1=CC=CC=C1
111-45-5,2-Allyloxyethanol,66.0,molid111,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0200.gif,C(C=C)OCCO,ENEA0200,https://s3.amazonaws.com/gelest/sds/ENEA0200_GHS+US_English+US.pdf,C(C=C)OCCO
1736-60-3,Allylpentafluorobenzene,43.0,molid113,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEA0378.gif,C(C=C)C1=C(C(=C(C(=C1F)F)F)F)F,ENEA0378,https://s3.amazonaws.com/gelest/sds/ENEA0378_GHS+US_English+US.pdf,C(C=C)C1=C(C(=C(C(=C1F)F)F)F)F
