id,compound,smiles,flashPoint
molid144,1-Octadecene,C=CCCCCCCCCCCCCCCCC,154.0
molid8,ACETOXYHEPTAMETHYLCYCLOTETRASILOXANE,C(C)(=O)O[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,65.0
molid37,ACRYLOXYTRIMETHYLSILANE,C(C=C)(=O)O[Si](C)(C)C,26.0
molid62,4-AMINOBUTYLTRIETHOXYSILANE,NCCCC[Si](OCC)(OCC)OCC,109.0
molid73,N-(6-AMINOHEXYL)AMINOPROPYLTRIMETHOXYSILANE,NCCCCCCNCCC[Si](OC)(OC)OC,110.0
molid75,AMINOMETHYLTRIMETHYLSILANE,NC[Si](C)(C)C,9.0
molid86,3-AMINOPROPYLSILANETRIOL,NCCC[Si](O)(O)O,1.0
molid104,Allylbenzene,C(C=C)C1=CC=CC=C1,40.0
molid111,2-Allyloxyethanol,C(C=C)OCCO,66.0
molid113,Allylpentafluorobenzene,C(C=C)C1=C(C(=C(C(=C1F)F)F)F)F,43.0
molid117,7-Bromo-1-heptene,BrCCCCCC=C,58.0
molid121,3-Buten-1-ol,C(CC=C)O,33.0
molid124,1-Decene,C=CCCCCCCCC,44.0
molid128,N-Ethyl-(2-methylallyl)amine,C(C)NCC(=C)C,7.0
molid147,PENTAMETHYLHEPTENE,CC(C(=C(C)C)C)(CCCC)C,42.0
molid155,Triacontene,C=CCCCCCCCCCCCCCCCCCCCCCCCCCCCC,232.0
molid162,HEPTAETHYLENEGLYCOL,C(COCCOCCOCCOCCOCCOCCO)O,20.0
molid168,BIS(TRI-n-BUTYLSTANNYL)ACETYLENE,C(CCC)[Sn](CCCC)(CCCC)C#C[Sn](CCCC)(CCCC)CCCC,110.0
molid180,DI-n-BUTYLDIACETOXYTIN,C(CCC)[Sn](OC(C)=O)(OC(C)=O)CCCC,143.0
molid183,DI-t-BUTYLDICHLOROTIN,C(C)(C)(C)[Sn](Cl)(Cl)C(C)(C)C,113.0
molid184,DI-n-BUTYLDIFLUOROTIN,C(CCC)[Sn](F)(F)CCCC,150.0
molid193,DIETHYLDICHLOROTIN,C(C)[Sn](Cl)(Cl)CC,20.0
molid206,DIPHENYLTIN OXIDE,C1(=CC=CC=C1)[Sn](C1=CC=CC=C1)=O,205.0
molid210,1-ETHOXYVINYLTRI-n-BUTYLTIN,C(C)OC(=C)[Sn](CCCC)(CCCC)CCCC,113.0
molid213,p-FLUOROPHENYLTRI-n-BUTYLTIN,FC1=CC=C(C=C1)[Sn](CCCC)(CCCC)CCCC,110.0
molid250,TIN(II) OXALATE,C(C(=O)[O-])(=O)[O-].[Sn+2],0.0
molid251,TIN(II) OXIDE,[Sn]=O,0.0
molid273,TRI-n-BUTYLSTANNYLTRIMETHYLSILANE,C(CCC)[Sn](CCCC)(CCCC)[Si](C)(C)C,110.0
molid286,ALLYLTRIMETHYLGERMANE,C(C=C)[Ge](C)(C)C,16.0
molid291,n-BUTYLGERMANE,C(CCC)[GeH3],23.0
molid306,DIPHENYLGERMANE,C1(=CC=CC=C1)[GeH2]C1=CC=CC=C1,104.0
molid307,ETHYLTRICHLOROGERMANE,C(C)[Ge](Cl)(Cl)Cl,51.0
molid337,TETRAMETHYLGERMANE,C[Ge](C)(C)C,19.0
molid338,TETRAPHENYLGERMANE,C1(=CC=CC=C1)[Ge](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,200.0
molid360,(TETRAHYDROFURFURYLOXYPROPYL)METHYLSILOXANE,C(C1CCCO1)OCCC[Si]([O])C,65.0
molid407,3-(3-METHACRYLOXY-2-HYDROXYPROPOXY)PROPYLBIS(TRIMETHYLSILOXY)METHYLSILANE,C(C(=C)C)(=O)OCC(COCCC[SiH2]C(O[Si](C)(C)C)O[Si](C)(C)C)O,180.0
