id,compound,smiles,flashPoint
molid144,1-Octadecene,C=CCCCCCCCCCCCCCCCC,154.0
molid8,ACETOXYHEPTAMETHYLCYCLOTETRASILOXANE,C(C)(=O)O[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,65.0
molid37,ACRYLOXYTRIMETHYLSILANE,C(C=C)(=O)O[Si](C)(C)C,26.0
molid62,4-AMINOBUTYLTRIETHOXYSILANE,NCCCC[Si](OCC)(OCC)OCC,109.0
molid73,N-(6-AMINOHEXYL)AMINOPROPYLTRIMETHOXYSILANE,NCCCCCCNCCC[Si](OC)(OC)OC,110.0
molid75,AMINOMETHYLTRIMETHYLSILANE,NC[Si](C)(C)C,9.0
molid86,3-AMINOPROPYLSILANETRIOL,NCCC[Si](O)(O)O,1.0
molid103,Allyl acrylate,C(C=C)(=O)OCC=C,32.0
molid110,Allyl methacrylate,C(C(=C)C)(=O)OCC=C,39.0
molid112,2-(Allyloxymethyl)tetrahydrofuran,C(C=C)OCC1OCCC1,40.0
molid116,4-Bromo-1-butene,BrCCC=C,1.0
molid120,3-Butenenitrile,C(CC=C)#N,24.0
molid123,Cyclopentene,C1=CCCC1,29.0
molid127,1-Eicosene,C=CCCCCCCCCCCCCCCCCCC,110.0
molid146,1-Octene,C=CCCCCCC,21.0
molid154,6-Phenyl-1-hexene,C1(=CC=CC=C1)CCCCC=C,65.0
molid161,HEXAETHYLENEGLYCOL,C(COCCOCCOCCOCCOCCO)O,20.0
molid249,TIN(II) OLEATE,C(CCCCCCC\C=C/CCCCCCCC)(=O)[O-].[Sn+2].C(CCCCCCC\C=C/CCCCCCCC)(=O)[O-],110.0
molid250,TIN(II) OXALATE,C(C(=O)[O-])(=O)[O-].[Sn+2],0.0
molid406,(METHACRYLOXYPROPYL)METHYLSILOXANE,C(C(=C)C)(=O)OCCC[Si]([O])C,110.0
