id,compound,smiles,flashPoint
molid33,(3-ACRYLOXYPROPYL)TRIMETHOXYSILANE,C(C=C)(=O)OCCC[Si](OC)(OC)OC,122.0
molid69,N-(2-AMINOETHYL)-3-AMINOPROPYLTRIMETHOXYSILANE,NCCNCCC[Si](OC)(OC)OC,150.0
molid88,3-AMINOPROPYLTRIMETHOXYSILANE,NCCC[Si](OC)(OC)OC,83.0
molid1,(3-ACETAMIDOPROPYL)TRIMETHOXYSILANE,C(C)(=O)NCCC[Si](OC)(OC)OC,65.0
molid2,ACETOXYETHYLDIMETHYLCHLOROSILANE,C(C)(=O)OCC[Si](Cl)(C)C,63.0
molid3,ACETOXYETHYLMETHYLDICHLOROSILANE,C(C)(=O)OCC[Si](Cl)(Cl)C,65.0
molid4,ACETOXYETHYLTRICHLOROSILANE,C(C)(=O)OCC[Si](Cl)(Cl)Cl,82.0
molid5,ACETOXYETHYLTRIETHOXYSILANE,C(C)(=O)OCC[Si](OCC)(OCC)OCC,99.0
molid6,ACETOXYETHYLTRIMETHOXYSILANE,C(C)(=O)OCC[Si](OC)(OC)OC,60.0
molid7,ACETOXYETHYLTRIS(DIMETHYLAMINO)SILANE,C(C)(=O)OCC[Si](N(C)C)(N(C)C)N(C)C,40.0
molid9,ACETOXYMETHYLTRIETHOXYSILANE,C(C)(=O)OC[Si](OCC)(OCC)OCC,60.0
molid10,ACETOXYMETHYLTRIMETHYLSILANE,C(C)(=O)OC[Si](C)(C)C,20.0
molid11,4-ACETOXYPHENETHYLTRICHLOROSILANE,C(C)(=O)OC1=CC=C(CC[Si](Cl)(Cl)Cl)C=C1,110.0
molid12,3-(3-ACETOXYPROPYL)HEPTAMETHYLTRISILOXANE,C(C)(=O)OCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,65.0
molid13,3-ACETOXYPROPYLMETHYLDICHLOROSILANE,C(C)(=O)OCCC[Si](Cl)(Cl)C,85.0
molid14,3-ACETOXYPROPYLTRIMETHOXYSILANE,C(C)(=O)OCCC[Si](OC)(OC)OC,93.0
molid15,ACETOXYTRIMETHYLSILANE,C(C)(=O)O[Si](C)(C)C,4.0
molid16,11-ACETOXYUNDECYLTRIETHOXYSILANE,C(C)(=O)OCCCCCCCCCCC[Si](OCC)(OCC)OCC,150.0
molid17,N-(ACETYLGLYCYL)-3-AMINOPROPYLTRIMETHOXYSILANE,C(C)(=O)NCC(=O)NCCC[Si](OC)(OC)OC,11.0
